minute,value
1.0,6
2.0,-5
3.0,7
4.0,11
5.0,13
6.0,14
7.0,16
8.0,24
9.0,45
10.0,19
11.0,-17
12.0,-19
13.0,-7
14.0,-3
15.0,-4
16.0,24
17.0,14
18.0,25
19.0,18
20.0,14
21.0,10
22.0,9
23.0,8
24.0,8
25.0,23
26.0,11
27.0,16
28.0,-15
29.0,-89
30.0,-82
31.0,-47
32.0,-19
33.0,32
34.0,20
35.0,14
36.0,51
37.0,45
38.0,26
39.0,20
40.0,16
41.0,14
42.0,13
43.0,28
44.0,48
45.0,39
45.5,-29
46.0,5
47.0,21
48.0,42
49.0,22
50.0,7
51.0,-5
52.0,11
53.0,12
54.0,13
55.0,16
56.0,37
57.0,89
58.0,52
59.0,42
60.0,20
61.0,24
62.0,13
63.0,-11
64.0,3
65.0,8
66.0,8
67.0,8
68.0,11
69.0,13
70.0,29
71.0,59
72.0,24
73.0,17
74.0,31
75.0,56
76.0,38
77.0,24
78.0,3
79.0,-34
80.0,-18
81.0,-43
82.0,-47
83.0,-33
84.0,-30
85.0,-3
86.0,-21
87.0,-15
88.0,-8
89.0,-7
90.0,-19
90.5,-31
