match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,interceptionWon,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,outfielderBlock,totalTackle,penaltyConceded,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalCross,accurateCross,wonTackle,errorLeadToAGoal,dispossessed,onTargetScoringAttempt,goals,hitWoodwork,blockedScoringAttempt,penaltyWon,bigChanceMissed,totalOffside,bigChanceCreated
14015572,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,26.0,15.0,16.0,5.0,0.0,13.0,19.0,2.0,7.0,1.0,7.0,5.0,1.0,5.0,1.0,1.0,90.0,36.0,6.9,12.0,26.974896712942,5.0,2.9060835081046,0.7548,"{'original': 6.9, 'alternative': 7.5}",0,0.04,0.01,-0.31,0.57,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.692307692307686,31.25,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,22.0,9.0,6.0,1.0,0.0,5.0,13.0,4.0,9.0,,4.0,,,,,,90.0,52.0,5.9,22.0,46.536045601085,7.0,9.9812309163893,,"{'original': 5.9, 'alternative': 6}",1,-0.12,0.02,-0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,40.909090909090914,16.666666666666664,,100.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-0.03,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,31.0,24.0,7.0,3.0,0.0,17.0,18.0,7.0,13.0,3.0,3.0,,,,,,90.0,43.0,5.6,8.0,48.241959090598,11.0,4.5875193315772,,"{'original': 5.6, 'alternative': 6.6}",0,-0.04,0.07,-0.81,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,77.41935483870968,42.857142857142854,,,,2.0,2.0,5.0,5.0,,,,,3.0,1.0,1.0,3.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,33.0,26.0,10.0,4.0,0.0,18.0,19.0,8.0,14.0,3.0,3.0,,,,,,90.0,48.0,5.8,9.0,143.00990415625,16.0,56.206088569753,,"{'original': 5.8, 'alternative': 6.6}",2,0.01,0.03,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,78.78787878787878,40.0,,,,2.0,2.0,3.0,3.0,,,,2.0,2.0,2.0,1.0,1.0,,-0.3,1.0,,,23.651047347804,23.81600573144,1.0,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,1457404,Emmanuel Dzigbah,emmanuel-dzigbah,D,42,False,9.0,7.0,2.0,1.0,0.0,7.0,9.0,,,2.0,3.0,,,,,,45.0,20.0,5.8,5.0,66.231896824947,7.0,13.917301031169,,"{'original': 5.8, 'alternative': 6.2}",0,-0.05,0.01,-0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,77.77777777777779,50.0,,100.0,,1.0,,3.0,3.0,,1.0,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,17.0,15.0,4.0,3.0,0.0,8.0,8.0,7.0,9.0,2.0,3.0,,,,,,90.0,35.0,6.6,4.0,67.636708867758,8.0,-35.105626001132,,"{'original': 6.6, 'alternative': 6.5}",0,0.14,-0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,88.23529411764706,75.0,100.0,,,2.0,,7.0,5.0,2.0,1.0,,,,1.0,2.0,2.0,1.0,,,3.0,,,,,1.0,1.0,3.0,,,,,,,,,,
14015572,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,25.0,21.0,3.0,2.0,0.0,13.0,13.0,8.0,12.0,3.0,3.0,,,,,,80.0,38.0,6.3,8.0,122.5325166503,16.0,14.637627603022,,"{'original': 6.3, 'alternative': 6.1}",0,0.01,0.25,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,84.0,66.66666666666666,,,,,1.0,3.0,5.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,3.0,,,,,,,2.0,1.0,,,,,,,,,
14015572,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,M,20,False,16.0,6.0,2.0,,0.0,2.0,5.0,4.0,11.0,1.0,1.0,,,,,,80.0,35.0,7.1,16.0,68.877211111053,8.0,28.089196279609,,"{'original': 7.1, 'alternative': 7.3}",2,-0.19,0.28,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,6,4,37.5,,,33.33333333333333,,3.0,1.0,7.0,7.0,,3.0,1.0,,2.0,2.0,,1.0,,0.3,1.0,5.0,,10.854462432461,13.39178494451,1.0,1.0,,2.0,,1.0,2.0,1.0,,,,,,
14015572,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,12.0,10.0,2.0,,0.0,8.0,9.0,2.0,3.0,,3.0,,,,,,90.0,28.0,6.3,10.0,29.481845146277,5.0,10.864011675432,,"{'original': 6.3, 'alternative': 6.4}",0,0.15,0.08,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,83.33333333333334,,33.33333333333333,50.0,,2.0,,4.0,3.0,,2.0,1.0,,1.0,5.0,1.0,1.0,2.0,,,1.0,,,,,3.0,1.0,,,,,,,,,,,
14015572,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,10.0,10.0,,,0.0,3.0,3.0,7.0,7.0,2.0,3.0,,,,,,90.0,26.0,5.8,8.0,83.649110346438,10.0,21.131630677784,,"{'original': 5.8, 'alternative': 6}",0,-0.11,0.09,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,100.0,,,50.0,,1.0,,9.0,2.0,1.0,4.0,2.0,,1.0,2.0,,3.0,,,,,,15.424099832452,23.868402229726,1.0,2.0,,,,2.0,,,,,,,,
14015572,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,13.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,10.0,7.0,1.0,,,,,,88.0,29.0,6.6,13.0,8.028902714878,2.0,7.7409789306504,,"{'original': 6.6, 'alternative': 6.9}",2,0.02,0.01,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,8,4,2,2,38.46153846153847,50.0,,,,5.0,3.0,7.0,5.0,,,,2.0,,4.0,1.0,1.0,1.0,-0.49,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,
14015572,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,10.0,7.0,2.0,1.0,0.0,7.0,7.0,,3.0,2.0,2.0,,,,,,45.0,15.0,6.4,4.0,33.180739293433,4.0,-29.764923981429,,"{'original': 6.4, 'alternative': 6.6}",0,-0.06,0.0,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,70.0,50.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,14.0,8.0,1.0,,0.0,2.0,5.0,6.0,9.0,,1.0,,,,,,10.0,15.0,6.4,7.0,102.17006433968,7.0,57.036386689123,,"{'original': 6.4, 'alternative': 6.3}",0,-0.19,0.23,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,57.14285714285714,,,,,1.0,,2.0,,,,,,,1.0,,1.0,,,,,,26.680580459609,83.353899309777,3.0,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,True,10.0,8.0,,,0.0,4.0,4.0,4.0,6.0,,,,,,,,10.0,11.0,6.4,2.0,18.674382803021,4.0,8.5147359557282,,"{'original': 6.4, 'alternative': 6.6}",1,0.03,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,80.0,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,-0.06,,,,,,,,,,,,1.0,,,,,,,
14015572,home,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,F,19,True,,,,,0.0,,,,,,,,,,,,2.0,1.0,,,3.3244886824894,1.0,3.0643885626819,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,home,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,37.0,34.0,5.0,2.0,0.0,33.0,35.0,1.0,2.0,1.0,4.0,,,2.0,,,90.0,43.0,6.7,3.0,36.496410025882,6.0,5.714907314108,0.0209,"{'original': 6.7, 'alternative': 6.7}",0,0.07,0.01,-0.06,-0.65,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,91.8918918918919,40.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,54.0,53.0,1.0,1.0,0.0,35.0,36.0,18.0,18.0,2.0,6.0,,,,,,90.0,73.0,6.7,5.0,182.93603451657,23.0,-8.4438021836547,,"{'original': 6.7, 'alternative': 7.1}",1,0.08,0.09,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,98.14814814814815,100.0,,100.0,,2.0,1.0,4.0,5.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,-0.23,,2.0,,17.584587290131,30.24007645493,1.0,2.0,,2.0,,,,,,1.0,,,,
14015572,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,75.0,65.0,5.0,2.0,0.0,51.0,55.0,14.0,20.0,3.0,4.0,,,,,,90.0,85.0,7.8,12.0,142.75038507505,23.0,48.585022058036,,"{'original': 7.8, 'alternative': 7.6}",2,0.19,0.08,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,86.66666666666667,40.0,,,,,4.0,2.0,4.0,,,,1.0,1.0,1.0,,1.0,1.0,0.53,,,,,,,,,,,1.0,1.0,1.0,,,,,,
14015572,away,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,77.0,68.0,7.0,4.0,0.0,51.0,56.0,17.0,21.0,2.0,4.0,,,,,,90.0,85.0,7.3,9.0,208.99183357149,27.0,64.812724343625,,"{'original': 7.3, 'alternative': 7.4}",0,0.15,0.09,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,3,0,88.31168831168831,57.14285714285714,,,,3.0,4.0,3.0,7.0,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,
14015572,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,False,53.0,44.0,1.0,1.0,0.0,21.0,23.0,23.0,30.0,1.0,1.0,,,,,,90.0,89.0,6.3,23.0,173.08543584028,21.0,110.40143813094,,"{'original': 6.3, 'alternative': 6.5}",2,0.11,0.32,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,6,7,83.01886792452831,100.0,,33.33333333333333,,3.0,1.0,10.0,7.0,,3.0,1.0,1.0,3.0,5.0,2.0,1.0,,-0.55,,3.0,,37.25988780709,57.655614913478,3.0,2.0,,2.0,,4.0,,,,1.0,,1.0,,
14015572,away,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,71.0,58.0,3.0,1.0,0.0,31.0,38.0,27.0,33.0,,8.0,,,,,,90.0,82.0,6.8,14.0,198.34122305288,26.0,55.526814661529,,"{'original': 6.8, 'alternative': 7.2}",1,0.13,0.19,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,81.69014084507043,33.33333333333333,,,,1.0,2.0,3.0,6.0,,,,,3.0,1.0,1.0,2.0,2.0,-0.31,,3.0,,26.573628966499,27.308878574559,1.0,,,2.0,,,,,,1.0,,,,
14015572,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,57.0,49.0,4.0,2.0,0.0,21.0,22.0,28.0,35.0,,7.0,,,,,,90.0,80.0,6.8,17.0,161.46418998627,23.0,1.8421291687616,,"{'original': 6.8, 'alternative': 7.1}",1,0.02,0.17,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,85.96491228070175,50.0,12.5,,,1.0,1.0,5.0,5.0,2.0,1.0,,1.0,,,3.0,,1.0,-0.11,,1.0,,,,,8.0,1.0,1.0,,1.0,,,1.0,,,,,
14015572,away,5149,FK Crvena zvezda,1916326,Douglas Owusu,owusu-douglas,M,35,False,28.0,24.0,,,0.0,7.0,8.0,17.0,20.0,,2.0,,,,,,83.0,45.0,7.0,11.0,258.35978120349,25.0,193.8703700899,,"{'original': 7, 'alternative': 7.2}",3,-0.5,0.74,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,85.71428571428571,,,100.0,,,1.0,4.0,6.0,2.0,1.0,1.0,1.0,,6.0,3.0,2.0,2.0,-0.52,,1.0,,22.029321228363,105.87323096566,6.0,,,1.0,,,1.0,,,1.0,,,1.0,
14015572,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,30.0,26.0,2.0,,0.0,18.0,20.0,8.0,10.0,,2.0,,,,,,68.0,41.0,6.2,9.0,64.53500355568,13.0,1.8671925324926,,"{'original': 6.2, 'alternative': 6.3}",1,-0.01,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,86.66666666666667,,20.0,,,,,4.0,,1.0,1.0,,1.0,,,,2.0,1.0,0.01,,,,,,,5.0,1.0,,,,,,,,,1.0,,
14015572,away,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,False,57.0,49.0,7.0,6.0,1.0,14.0,15.0,35.0,42.0,,6.0,,,,,,90.0,85.0,7.9,17.0,330.73497261243,34.0,155.57016832958,,"{'original': 7.9, 'alternative': 8.2}",3,0.66,0.58,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,85.96491228070175,85.71428571428571,66.66666666666666,50.0,,1.0,3.0,6.0,6.0,,4.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,-0.61,,,,25.495663207952,152.18331694741,8.0,3.0,2.0,,,2.0,2.0,,,,,,1.0,1.0
14015572,away,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,19.0,15.0,,,0.0,7.0,9.0,8.0,10.0,1.0,1.0,,,,,,83.0,34.0,8.7,11.0,106.14174900561,11.0,42.912045113554,,"{'original': 8.7, 'alternative': 8.6}",3,-0.35,0.38,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,4,0,78.94736842105263,,,,,,4.0,,8.0,,,,,,3.0,4.0,,2.0,0.65,,,,19.26673449167,27.74319098604,2.0,2.0,,,,,3.0,2.0,,,,,1.0,1.0
14015572,away,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,True,14.0,10.0,1.0,1.0,0.0,2.0,3.0,8.0,11.0,,2.0,,,,,,22.0,18.0,6.4,5.0,57.002161937637,7.0,37.234005324924,,"{'original': 6.4, 'alternative': 6.9}",2,0.03,0.14,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,71.42857142857143,100.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,-0.51,,,,,,,,,,,,1.0,,,,,,,
14015572,away,5149,FK Crvena zvezda,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,42,True,6.0,4.0,,,0.0,2.0,2.0,2.0,4.0,,,,,,,,12.0,9.0,6.4,3.0,4.5283710095353,1.0,1.725909003756,,"{'original': 6.4, 'alternative': 6.5}",0,0.01,-0.03,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14015572,away,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,,,,,12.0,6.0,6.6,1.0,34.790765669701,4.0,31.155180590753,,"{'original': 6.6, 'alternative': 6.7}",1,-0.09,0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,1.0,,,,,1.0,-0.3,,,,12.626887942724,26.343276851574,2.0,1.0,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,802665,Nemanja Radonjić,nemanja-radonjic,M,49,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015572,away,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
