match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,hitWoodwork,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,accurateCross,challengeLost,bigChanceMissed,shotOffTarget,shotValueNormalized,dispossessed,bigChanceCreated,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015573,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,30.0,15.0,18.0,3.0,0.0,15.0,25.0,5.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,1.0,90.0,43.0,6.8,16.0,26.828187995024,4.0,5.9680401207589,0.4213,"{'original': 6.8, 'alternative': 7}",0,-0.03,0.0,0.2,0.37,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,26.0,17.0,6.0,2.0,0.0,11.0,15.0,11.0,4.0,6.0,9.0,6.0,,,,,,90.0,41.0,7.1,11.0,117.8812580051,15.0,8.5533880074727,,"{'original': 7.1, 'alternative': 7.4}",0,0.03,0.03,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,2,5,65.38461538461539,33.33333333333333,,,,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,24.0,17.0,8.0,2.0,0.0,15.0,21.0,3.0,1.0,5.0,9.0,3.0,2.0,,,,,90.0,42.0,7.3,9.0,82.660099430249,13.0,16.210554724053,,"{'original': 7.3, 'alternative': 7.4}",0,0.02,0.02,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,70.83333333333334,25.0,,,,2.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,28.0,20.0,10.0,6.0,0.0,14.0,17.0,11.0,,1.0,8.0,3.0,,,,,,90.0,41.0,7.2,9.0,146.06187371053,17.0,18.897322129782,,"{'original': 7.2, 'alternative': 7.3}",0,0.08,0.06,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,71.42857142857143,60.0,,,,6.0,1.0,2.0,4.0,,1.0,1.0,1.0,,2.0,,28.376868831779,28.756693064398,1.0,1.0,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,M,7,False,14.0,9.0,1.0,,0.0,3.0,3.0,11.0,3.0,5.0,3.0,1.0,1.0,,,,,90.0,38.0,7.1,11.0,99.661581225937,8.0,15.554589212237,,"{'original': 7.1, 'alternative': 7}",0,0.25,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,64.28571428571429,,33.33333333333333,,,6.0,3.0,1.0,5.0,,,1.0,,1.0,4.0,3.0,11.349776903048,21.157954556147,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,28.0,16.0,4.0,,0.0,7.0,9.0,19.0,2.0,4.0,1.0,6.0,2.0,,,,,90.0,35.0,6.7,15.0,117.07217035048,18.0,61.085239243524,,"{'original': 6.7, 'alternative': 6.7}",1,0.09,0.18,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,57.14285714285714,,,,,9.0,,,,,,,,2.0,,,12.664971034747,13.152073030515,1.0,,,,1.0,1.0,-0.56,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,13.0,10.0,1.0,,0.0,7.0,7.0,6.0,,3.0,,3.0,,,,,,71.0,24.0,6.6,9.0,113.81571611029,12.0,26.871683645174,,"{'original': 6.6, 'alternative': 6.8}",2,0.08,0.21,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,76.92307692307693,,,,,3.0,1.0,1.0,3.0,,,3.0,2.0,4.0,1.0,,15.18802413897,22.118380512778,2.0,1.0,,,,2.0,-0.52,1.0,1.0,,,,,,,
14015573,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,18.0,13.0,5.0,5.0,0.0,5.0,8.0,10.0,,2.0,2.0,3.0,1.0,,,,,87.0,28.0,6.8,7.0,123.82692275426,14.0,32.538362626279,,"{'original': 6.8, 'alternative': 6.7}",0,0.18,0.14,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,72.22222222222221,100.0,,,,8.0,2.0,3.0,7.0,,,1.0,1.0,,3.0,1.0,29.139264094067,50.198778283426,2.0,,,1.0,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,M,33,False,22.0,15.0,2.0,,0.0,11.0,11.0,11.0,,1.0,1.0,6.0,,,,,,90.0,46.0,7.1,14.0,244.52250834549,23.0,70.033007958465,,"{'original': 7.1, 'alternative': 7.5}",0,0.35,0.26,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,68.18181818181817,,,,,4.0,4.0,,,,,1.0,1.0,,,,22.356145303523,69.299190446001,3.0,2.0,,,,,,,1.0,,,,,,,
14015573,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,F,22,False,6.0,4.0,1.0,1.0,0.0,1.0,1.0,5.0,,4.0,,,,,,,,70.0,24.0,6.6,7.0,73.776033098553,8.0,19.066623077252,,"{'original': 6.6, 'alternative': 6.2}",3,0.27,0.08,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,66.66666666666666,100.0,,33.33333333333333,,3.0,1.0,2.0,4.0,,,3.0,2.0,1.0,,,3.1340945070253,4.5447855835012,1.0,1.0,,,2.0,1.0,-0.59,,,3.0,1.0,1.0,1.0,2.0,,
