match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialWon,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,interceptionWon,lastManTackle,keyPass,blockedScoringAttempt,errorLeadToAGoal,bigChanceMissed,onTargetScoringAttempt,hitWoodwork,bigChanceCreated,totalOffside,penaltyMiss,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,punches,penaltyConceded,errorLeadToAShot,goals
14015574,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,29.0,27.0,11.0,9.0,0.0,22.0,23.0,5.0,6.0,1.0,6.0,1.0,1.0,1.0,90.0,35.0,6.4,2.0,60.511595624731,8.0,47.701475570314,0.0,0.0038,"{'original': 6.4, 'alternative': 6.5}",0,0.12,0.01,-0.15,-0.7,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.10344827586206,81.81818181818183,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,37.0,25.0,6.0,,0.0,11.0,11.0,14.0,26.0,6.0,5.0,,,,90.0,67.0,6.3,19.0,113.29155951529,17.0,39.734477478674,0.0,,"{'original': 6.3, 'alternative': 6.7}",0,0.07,0.07,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,67.56756756756756,,25.0,66.66666666666666,,4.0,1.0,1.0,7.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,58.0,48.0,6.0,1.0,0.0,32.0,34.0,16.0,24.0,3.0,3.0,,,,78.0,69.0,6.5,11.0,189.46040979711,19.0,92.374907274338,1.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.09,0.13,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,82.75862068965517,16.666666666666664,,,,,,2.0,3.0,4.0,,,,,1.0,1.0,1.0,,1.0,3.0,1.0,2.0,20.392432824122,23.182659122715,-0.51,,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,78.0,70.0,5.0,2.0,0.0,61.0,62.0,9.0,16.0,8.0,8.0,,,,90.0,94.0,6.5,9.0,189.34968380563,21.0,61.465964776669,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.09,0.07,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,89.74358974358975,40.0,,,,,,,2.0,4.0,,1.0,,,2.0,,,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,60.0,56.0,4.0,4.0,0.0,37.0,38.0,19.0,22.0,5.0,4.0,,,,90.0,79.0,6.7,7.0,136.40276076869,21.0,84.134232867646,0.0,,"{'original': 6.7, 'alternative': 7}",0,0.25,0.01,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,3,0,93.33333333333333,100.0,,,,,,2.0,2.0,5.0,,,,,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,40.0,31.0,4.0,1.0,0.0,19.0,22.0,12.0,18.0,,5.0,,,,60.0,51.0,6.8,10.0,78.151651834071,10.0,-32.380186804784,0.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.06,0.05,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,77.5,25.0,,50.0,,,,,3.0,4.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,267591,Milan Radin,milan-radin,M,7,False,41.0,32.0,7.0,4.0,0.0,14.0,18.0,18.0,23.0,2.0,2.0,,,,90.0,57.0,6.7,12.0,157.0570695044,18.0,45.74923869541,1.0,,"{'original': 6.7, 'alternative': 6.7}",2,0.38,0.22,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,78.04878048780488,57.14285714285714,100.0,,,1.0,1.0,2.0,4.0,5.0,,,,,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,36.554307868052,36.971271874254,0.01,,,3.0,1.0,1.0,,,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,25.0,18.0,2.0,,0.0,6.0,8.0,12.0,17.0,,3.0,,,,60.0,44.0,6.5,12.0,149.70784012071,18.0,41.571208722309,1.0,,"{'original': 6.5, 'alternative': 7.1}",6,0.38,0.18,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,72.0,,33.33333333333333,33.33333333333333,,3.0,1.0,,3.0,3.0,,,3.0,1.0,2.0,2.0,1.0,,1.0,,2.0,,16.458438951452,25.282436591436,-0.63,,,2.0,1.0,,2.0,3.0,,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,False,22.0,20.0,2.0,1.0,0.0,10.0,10.0,10.0,12.0,,1.0,,,,90.0,32.0,6.6,5.0,80.377092790895,8.0,55.039015792815,1.0,,"{'original': 6.6, 'alternative': 6.8}",3,-0.04,0.06,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,90.9090909090909,50.0,,,,,,,2.0,3.0,1.0,1.0,,,,,1.0,2.0,,1.0,1.0,,17.204693682343,17.40249984916,-0.06,,,,1.0,,,1.0,1.0,,,,,,,,,,
14015574,home,263360,FK TSC Bačka Topola,965889,Radivoj Bosić,radivoj-bosic,M,12,False,19.0,14.0,,,0.0,6.0,8.0,8.0,11.0,1.0,4.0,,,,81.0,41.0,7.3,16.0,127.46061924851,15.0,41.838211357222,0.0,,"{'original': 7.3, 'alternative': 7.1}",2,0.52,0.4,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,73.68421052631578,,,57.14285714285714,,3.0,,,5.0,6.0,,2.0,7.0,4.0,1.0,,3.0,,,1.0,1.0,,,,-0.17,,,2.0,,,,1.0,,2.0,1.0,,,,,,,,
