match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,onTargetScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,aerialLost,aerialWon,bigChanceCreated,shotOffTarget,goals,totalTackle,wonTackle,keyPass,lastManTackle,bigChanceMissed,hitWoodwork,accurateCross,blockedScoringAttempt,totalContest,dispossessed,penaltyWon,errorLeadToAShot,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,penaltyConceded,wonContest
14015578,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,21.0,18.0,6.0,3.0,0.0,17.0,17.0,1.0,4.0,1.0,5.0,1.0,2.0,90.0,28.0,6.9,3.0,7.9603896121884,2.0,2.7487451485988,0.0,0.0046,"{'original': 6.9, 'alternative': 7.2}",0,0.09,0.0,0.25,0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,69.0,62.0,6.0,1.0,0.0,32.0,35.0,30.0,34.0,,8.0,,,90.0,90.0,7.1,11.0,158.67782987265,23.0,24.417327393081,2.0,,"{'original': 7.1, 'alternative': 7.3}",1,0.41,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,89.85507246376811,16.666666666666664,,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,15.696268138315,31.470927934689,-0.13,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,104.0,90.0,7.0,3.0,0.0,49.0,53.0,41.0,51.0,4.0,4.0,,,90.0,116.0,9.5,15.0,362.88788201433,37.0,139.34440018602,3.0,,"{'original': 9.5, 'alternative': 8.5}",2,0.61,0.3,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,11,5,4,1,86.53846153846155,42.857142857142854,,,,,4.0,12.0,,1.0,,1.0,2.0,1.0,16.795059261273,58.594849895692,0.52,3.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,False,99.0,91.0,6.0,3.0,1.0,43.0,47.0,48.0,52.0,2.0,3.0,,,90.0,107.0,8.2,8.0,432.80217826072,52.0,176.45628042339,2.0,,"{'original': 8.2, 'alternative': 7.9}",1,0.61,0.27,0.62,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,91.91919191919192,50.0,,,,,1.0,4.0,,,1.0,,,1.0,17.395912716853,33.143615534305,-0.52,,3.0,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,42.0,37.0,1.0,,0.0,16.0,16.0,21.0,26.0,2.0,4.0,,,81.0,60.0,7.1,9.0,150.14228718453,22.0,48.324612912463,0.0,,"{'original': 7.1, 'alternative': 7.2}",2,-0.05,-0.53,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,88.09523809523809,,,,,1.0,,2.0,,1.0,2.0,2.0,,,,,0.29,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,60.0,54.0,7.0,3.0,0.0,13.0,14.0,41.0,46.0,1.0,5.0,,,69.0,70.0,7.8,8.0,177.45045067743,21.0,93.486797842863,4.0,,"{'original': 7.8, 'alternative': 7.1}",0,0.53,0.29,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,90.0,42.857142857142854,,,,,,4.0,,,2.0,1.0,3.0,,20.638278503887,63.820478449082,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,52.0,49.0,2.0,1.0,1.0,19.0,19.0,30.0,33.0,,1.0,,,90.0,65.0,7.3,9.0,122.63559962687,15.0,-4.0619895335895,1.0,,"{'original': 7.3, 'alternative': 7.4}",2,0.4,0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,94.23076923076923,50.0,16.666666666666664,,,6.0,1.0,3.0,,,1.0,1.0,1.0,1.0,10.629267795299,10.629403040623,-0.53,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1916326,Douglas Owusu,owusu-douglas,M,35,False,29.0,22.0,3.0,2.0,1.0,7.0,8.0,15.0,21.0,1.0,1.0,,,81.0,41.0,8.8,10.0,73.554869479896,14.0,23.235971383136,1.0,,"{'original': 8.8, 'alternative': 8.5}",2,0.63,0.34,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,75.86206896551724,66.66666666666666,100.0,,,1.0,4.0,4.0,1.0,1.0,,2.0,3.0,1.0,16.852062866922,16.85253598127,0.49,1.0,2.0,2.0,1.0,1.0,,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,33.0,22.0,3.0,2.0,0.0,7.0,9.0,15.0,24.0,1.0,3.0,,,90.0,47.0,8.4,15.0,120.7407071654,12.0,37.716681800328,2.0,,"{'original': 8.4, 'alternative': 8.1}",2,0.44,0.31,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,66.66666666666666,66.66666666666666,40.0,,,5.0,4.0,4.0,1.0,1.0,,,2.0,1.0,27.630625159487,44.444864703007,0.51,1.0,1.0,,,1.0,1.0,1.0,4.0,,,,2.0,1.0,,1.0,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,False,46.0,38.0,4.0,3.0,1.0,14.0,15.0,24.0,31.0,,2.0,,,69.0,61.0,7.5,13.0,296.91304824751,32.0,-0.29629454893902,2.0,,"{'original': 7.5, 'alternative': 9.1}",5,0.41,0.07,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,82.6086956521739,75.0,40.0,,,5.0,2.0,1.0,,3.0,,1.0,1.0,1.0,14.597923115772,40.107786171039,0.27,,,2.0,1.0,1.0,,,3.0,,,,2.0,1.0,,1.0,,,,,,,,,
