match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,blockedScoringAttempt,totalClearance,unsuccessfulTouch,wasFouled,shotValueNormalized,wonContest,totalTackle,wonTackle,fouls,keyPass,challengeLost,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotOffTarget,dispossessed,outfielderBlock,onTargetScoringAttempt,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,goals,bigChanceMissed,hitWoodwork
14015579,home,36967,FK Spartak Subotica,1515520,Nikola Grujić,nikola-grujic,G,45,False,21.0,8.0,16.0,3.0,0.0,5.0,10.0,3.0,11.0,4.0,2.0,2.0,90.0,24.0,5.5,13.0,16.292475492491,3.0,-0.23765464258814,0.0,0.2196,"{'original': 5.5, 'alternative': 6}",0,0.0,-0.03,-0.32,-0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,38.095238095238095,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,D,21,False,8.0,8.0,,,0.0,4.0,4.0,4.0,4.0,,,,45.0,22.0,6.3,6.0,41.231403427207,5.0,23.581647305701,0.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.15,0.01,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,100.0,,25.0,,,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,-0.22,,,,,,,,,,,,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,48.0,40.0,7.0,5.0,0.0,25.0,26.0,15.0,22.0,5.0,,,90.0,59.0,6.6,9.0,82.714425793203,11.0,18.766349392798,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.41,0.17,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,83.33333333333334,71.42857142857143,,100.0,,,,,2.0,1.0,5.0,1.0,,1.0,1.0,,,1.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,D,5,False,70.0,62.0,14.0,11.0,0.0,43.0,47.0,19.0,23.0,6.0,,,90.0,79.0,6.8,10.0,396.46738462384,34.0,190.74854770454,2.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.27,0.22,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,88.57142857142857,78.57142857142857,,100.0,,,,1.0,2.0,2.0,5.0,2.0,,2.0,2.0,,,2.0,1.0,1.0,,,1.0,1.0,22.822961605839,47.092882236188,,,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,60.0,54.0,5.0,2.0,0.0,45.0,47.0,9.0,13.0,7.0,,,90.0,70.0,6.9,6.0,103.78819602265,14.0,41.024679718399,0.0,,"{'original': 6.9, 'alternative': 6.7}",1,0.26,0.09,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,3,0,90.0,40.0,,,,,,1.0,5.0,1.0,8.0,,,3.0,,1.0,0.01,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,606608,Cajú,caju,D,13,False,50.0,38.0,2.0,,0.0,19.0,22.0,19.0,28.0,4.0,,,90.0,77.0,5.8,26.0,142.40113131785,20.0,24.760230793002,0.0,,"{'original': 5.8, 'alternative': 6.2}",1,0.05,-0.05,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,76.0,,11.11111111111111,50.0,,9.0,1.0,,1.0,6.0,4.0,2.0,,1.0,1.0,,-0.04,1.0,2.0,,1.0,1.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,False,55.0,47.0,3.0,1.0,0.0,17.0,20.0,30.0,35.0,6.0,,,72.0,73.0,7.1,12.0,116.23148317134,16.0,36.816049054557,1.0,,"{'original': 7.1, 'alternative': 7.2}",2,0.3,0.13,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,85.45454545454545,33.33333333333333,,50.0,,1.0,,1.0,1.0,5.0,8.0,4.0,1.0,,,2.0,-0.15,2.0,3.0,3.0,1.0,,1.0,,18.155852037474,18.662645069764,1.0,1.0,,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,948694,Nikola Kuveljić,nikola-kuveljic,M,33,False,41.0,37.0,,,0.0,12.0,13.0,25.0,28.0,4.0,,,73.0,51.0,6.4,6.0,75.93706306848,14.0,5.4876347705537,0.0,,"{'original': 6.4, 'alternative': 6.9}",1,0.18,0.06,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,90.2439024390244,,,,,,,,1.0,4.0,2.0,,,1.0,2.0,1.0,-0.22,,,,4.0,1.0,,4.0,,,1.0,,1.0,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,False,8.0,8.0,1.0,1.0,0.0,7.0,7.0,1.0,1.0,1.0,,,45.0,19.0,6.6,3.0,37.722567549037,6.0,18.645496249798,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.04,-0.13,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,100.0,100.0,100.0,50.0,,1.0,1.0,,,5.0,5.0,2.0,,,1.0,3.0,,1.0,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
14015579,home,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,F,20,False,9.0,9.0,,,0.0,3.0,3.0,6.0,6.0,,,,60.0,21.0,6.3,5.0,25.576126804289,4.0,23.827530121947,1.0,,"{'original': 6.3, 'alternative': 6.7}",3,-0.12,0.05,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,100.0,,,,,1.0,,,,4.0,2.0,1.0,1.0,,1.0,1.0,-0.48,,1.0,1.0,,,1.0,,10.241764741857,10.473341587096,1.0,2.0,,1.0,2.0,,,,,,,
