match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,errorLeadToAGoal,wonContest,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,goals,blockedScoringAttempt,unsuccessfulTouch,totalOffside,punches
14015581,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,23.0,9.0,18.0,4.0,0.0,5.0,5.0,4.0,18.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,90.0,31.0,6.6,14.0,9.8828055178688,2.0,3.1978039610412,0.0,0.0476,"{'original': 6.6, 'alternative': 6.5}",0,0.06,0.0,-0.06,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,39.130434782608695,22.22222222222222,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,17.0,11.0,3.0,,0.0,9.0,9.0,2.0,8.0,5.0,,,,,,,83.0,45.0,6.4,13.0,54.125086196986,8.0,9.48256491723,0.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.06,-0.1,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,64.70588235294117,,,,,3.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,24.0,17.0,8.0,3.0,0.0,13.0,15.0,4.0,9.0,2.0,1.0,,,,,,90.0,35.0,6.6,7.0,137.91595435449,14.0,35.249151738785,1.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.01,0.09,0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,70.83333333333334,37.5,,,,,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,1.0,3.0,17.379988043499,17.806601275931,-0.1,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,32.0,25.0,9.0,5.0,0.0,22.0,24.0,3.0,8.0,5.0,,,,,,,90.0,44.0,6.2,8.0,99.131665516593,16.0,-14.369001663705,0.0,,"{'original': 6.2, 'alternative': 6.4}",0,0.05,0.02,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,78.125,55.55555555555556,,,,,2.0,1.0,2.0,2.0,,,,2.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,42.0,33.0,8.0,1.0,0.0,17.0,20.0,16.0,22.0,5.0,5.0,,,,,,90.0,71.0,7.1,14.0,167.61836084576,25.0,-9.6229607196473,0.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.13,0.1,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,78.57142857142857,12.5,,50.0,,2.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,
14015581,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,39.0,29.0,5.0,4.0,0.0,12.0,16.0,17.0,23.0,4.0,7.0,,,,,,90.0,53.0,6.8,12.0,105.6213561843,11.0,-9.4944022478299,0.0,,"{'original': 6.8, 'alternative': 6.8}",1,0.28,0.09,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,0,9,74.35897435897436,80.0,,,,,1.0,6.0,10.0,6.0,1.0,2.0,,4.0,,,,6.0,1.0,,,,-0.04,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,20.0,15.0,1.0,1.0,0.0,7.0,7.0,8.0,13.0,3.0,3.0,,,,,,90.0,37.0,6.2,9.0,109.26129386025,12.0,-9.2664497012672,2.0,,"{'original': 6.2, 'alternative': 6.5}",1,0.09,0.04,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,5,7,75.0,100.0,,100.0,,1.0,3.0,1.0,10.0,6.0,2.0,3.0,1.0,,3.0,2.0,1.0,2.0,1.0,,9.9211601306139,23.052461968481,-0.2,,1.0,,,,,,,,,
14015581,home,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,False,16.0,12.0,,,1.0,6.0,8.0,6.0,8.0,,4.0,,,,,,73.0,21.0,6.5,4.0,90.995023948205,11.0,-20.145326817457,0.0,,"{'original': 6.5, 'alternative': 7}",1,-0.01,0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,75.0,,,,,,1.0,2.0,2.0,4.0,,,,1.0,,,2.0,1.0,1.0,,,,-0.51,,,1.0,,,,,,,,
14015581,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,8.0,7.0,1.0,1.0,0.0,3.0,3.0,4.0,5.0,1.0,,,,,,,44.0,17.0,6.6,4.0,8.8876239243446,2.0,4.4341437641222,0.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.31,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,87.5,100.0,50.0,,,2.0,,,4.0,,,2.0,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,
14015581,home,25737,FK Radnički Niš,370644,Gboly Ariyibi,gboly-ariyibi,M,11,False,19.0,14.0,,,1.0,3.0,5.0,11.0,14.0,,4.0,,,,,,83.0,37.0,7.0,13.0,147.97190864256,18.0,13.790400208618,0.0,,"{'original': 7, 'alternative': 7.1}",0,0.39,-0.7,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,73.68421052631578,,25.0,,,4.0,,,4.0,5.0,,1.0,3.0,,,,5.0,,,,,,,,,3.0,1.0,1.0,,,,,,
