match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelWon,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,aerialWon,duelLost,fouls,challengeLost,blockedScoringAttempt,shotValueNormalized,totalCross,accurateCross,onTargetScoringAttempt,goals,dispossessed,totalContest,shotOffTarget,errorLeadToAShot,wonContest,totalOffside,bigChanceCreated,penaltyWon,goodHighClaim,penaltyFaced,punches,penaltyConceded,lastManTackle,bigChanceMissed
14015582,home,308176,FK IMT Beograd,795899,Ognjen Čančarević,ognjen-cancarevic,G,55,False,34.0,22.0,27.0,15.0,0.0,8.0,11.0,14.0,23.0,6.0,3.0,3.0,90.0,40.0,7.6,13.0,94.390846221862,11.0,32.186889257439,0.0,0.1104,"{'original': 7.6, 'alternative': 7.5}",0,0.17,-0.02,0.21,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,64.70588235294117,55.55555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,28.0,21.0,4.0,4.0,0.0,7.0,10.0,14.0,18.0,3.0,,,90.0,47.0,7.7,10.0,75.512003728778,9.0,14.913055092865,1.0,,"{'original': 7.7, 'alternative': 8}",0,0.25,0.06,0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,75.0,100.0,,,,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,15.533182289186,18.481500047345,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,791176,Vukašin Jovanović,vukasin-jovanovic,D,6,False,32.0,29.0,4.0,2.0,0.0,23.0,23.0,6.0,9.0,4.0,,,90.0,43.0,7.0,3.0,62.686995464044,7.0,-11.547991666695,0.0,,"{'original': 7, 'alternative': 7}",0,0.11,0.0,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,90.625,50.0,,,,3.0,3.0,,,2.0,2.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,836919,Stefan Šapić,stefan-sapic,D,65,False,23.0,21.0,2.0,1.0,0.0,19.0,20.0,2.0,3.0,,,,90.0,29.0,6.9,2.0,60.401218362103,6.0,-6.6859224858214,0.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.09,0.0,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,91.30434782608695,50.0,,,,3.0,3.0,,1.0,1.0,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,915043,Iván Martos,ivan-martos,D,3,False,27.0,19.0,4.0,1.0,0.0,14.0,20.0,5.0,7.0,6.0,,,90.0,44.0,6.9,10.0,94.067249188325,14.0,-20.791515987805,0.0,,"{'original': 6.9, 'alternative': 7.1}",1,-0.1,0.02,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,70.37037037037037,25.0,,,,6.0,3.0,1.0,,2.0,1.0,1.0,2.0,,,,,2.0,4.0,2.0,2.0,1.0,-0.06,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,17.0,14.0,4.0,2.0,0.0,6.0,7.0,8.0,10.0,2.0,,,90.0,34.0,7.7,14.0,71.671787373967,6.0,31.61795645147,1.0,,"{'original': 7.7, 'alternative': 7.8}",1,-0.11,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,82.35294117647058,50.0,10.0,,,,,1.0,2.0,,,1.0,,21.211496826589,41.912104456827,1.0,1.0,,3.0,1.0,1.0,,0.32,10.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,False,25.0,19.0,3.0,1.0,0.0,5.0,7.0,14.0,18.0,7.0,,,84.0,45.0,6.8,15.0,219.26468482243,19.0,101.46187301699,5.0,,"{'original': 6.8, 'alternative': 7.2}",6,0.39,0.7,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,76.0,33.33333333333333,25.0,,,1.0,,,,1.0,1.0,4.0,,23.262692350186,80.314232875789,3.0,3.0,,7.0,2.0,,1.0,-0.59,4.0,1.0,3.0,,1.0,1.0,2.0,1.0,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,32.0,25.0,4.0,3.0,0.0,3.0,6.0,22.0,26.0,6.0,,,90.0,45.0,7.6,11.0,163.27777764917,15.0,74.293676189453,4.0,,"{'original': 7.6, 'alternative': 7}",2,0.41,0.59,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,3,8,78.125,75.0,50.0,,,4.0,2.0,,,2.0,1.0,1.0,1.0,27.315022172758,77.443813698684,,,1.0,8.0,4.0,3.0,1.0,0.01,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,229722,Farid Boulaya,farid-boulaya,M,37,False,32.0,29.0,2.0,2.0,0.0,12.0,12.0,17.0,20.0,9.0,,,89.0,51.0,7.4,9.0,217.03753467576,23.0,82.955909612856,2.0,,"{'original': 7.4, 'alternative': 7.7}",4,0.3,0.59,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,90.625,100.0,50.0,100.0,,3.0,,,1.0,2.0,1.0,4.0,,32.537712039255,52.189824948855,2.0,,,1.0,1.0,,,-0.54,2.0,1.0,1.0,,,1.0,3.0,,1.0,,,,,,,,,
14015582,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,15.0,9.0,3.0,2.0,0.0,6.0,9.0,3.0,6.0,2.0,,,69.0,26.0,6.1,12.0,83.278163136939,11.0,-0.27947430742479,1.0,,"{'original': 6.1, 'alternative': 6.5}",3,-0.15,0.04,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,60.0,66.66666666666666,,25.0,,2.0,,,,1.0,,2.0,,12.139493639693,20.404279575618,,,,4.0,,1.0,1.0,-0.39,1.0,,,,,4.0,2.0,,1.0,1.0,,,,,,,,
14015582,home,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,False,24.0,15.0,,,0.0,2.0,3.0,13.0,21.0,3.0,,,89.0,35.0,7.1,13.0,180.16798401998,18.0,67.648319087054,4.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.33,0.38,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,4,4,62.5,,,66.66666666666666,,9.0,,,,,,2.0,2.0,16.78936550983,86.08240343082,2.0,2.0,5.0,6.0,3.0,,,-0.51,1.0,,1.0,,,3.0,,,2.0,3.0,,,,,,,,
14015582,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,4.0,2.0,1.0,,1.0,,1.0,2.0,3.0,2.0,,,21.0,9.0,7.4,3.0,30.652390434333,2.0,25.605144959102,1.0,,"{'original': 7.4, 'alternative': 7.2}",0,0.57,0.27,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,50.0,,,,,3.0,,,,2.0,2.0,,1.0,18.784665209872,19.384431923582,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,
14015582,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,6.0,6.0,,,0.0,4.0,4.0,2.0,2.0,1.0,,,13.0,8.0,7.5,1.0,26.590768820025,3.0,0.49009961494884,0.0,,"{'original': 7.5, 'alternative': 7.3}",1,0.03,0.04,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,0.49,,,1.0,1.0,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,0.0,,,,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015582,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,29.0,24.0,6.0,2.0,0.0,23.0,26.0,1.0,3.0,8.0,5.0,6.0,90.0,47.0,7.0,5.0,35.761512579324,6.0,32.309764839138,0.0,0.5767,"{'original': 7, 'alternative': 7.7}",0,0.04,0.02,-0.3,0.46,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.75862068965517,33.33333333333333,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,
