player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Issah Abass', 'slug': 'abass-issah', 'shortName': 'I. Abass', 'position': 'M', 'jerseyNumber': '8', 'userCount': 217, 'gender': 'M', 'id': 873419, 'fieldTranslations': {'nameTranslation': {'ar': 'عباس، عيسى', 'bn': 'আবাস, ইসাহ', 'hi': 'अब्बास, इस्साह'}, 'shortNameTranslation': {'ar': 'ع. عباس', 'bn': 'আই. আবাস', 'hi': 'आई. अब्बास'}}}",False,save,fast-break,"{'x': 10.4, 'y': 39.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 6.3}","{'x': 8, 'y': 42.1, 'z': 0}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706533,89,5322,"{'start': {'x': 39.9, 'y': 10.4}, 'block': {'x': 42.1, 'y': 8}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 93.7}}",2,78,2622,shot,
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",True,goal,assisted,"{'x': 6.6, 'y': 44, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.7, 'z': 3.8}",,"{'name': 'Dejan Stanivuković', 'slug': 'dejan-stanivukovic', 'shortName': 'D. Stanivuković', 'position': 'G', 'jerseyNumber': '94', 'userCount': 21, 'gender': 'M', 'id': 804837, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان ستانيفوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستانيفوكوفيتش'}}}",6706520,88,5226,"{'start': {'x': 44, 'y': 6.6}, 'end': {'x': 53.3, 'y': 0}, 'goal': {'x': 53.3, 'y': 96.2}}",3,174,2526,shot,regular
"{'name': 'Jovan Ilić', 'firstName': '', 'lastName': '', 'slug': 'jovan-ilic', 'shortName': 'J. Ilić', 'position': 'M', 'jerseyNumber': '31', 'userCount': 35, 'gender': 'M', 'id': 1046779, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان إيلتش'}, 'shortNameTranslation': {'ar': 'ي. إيلتش'}}}",True,block,regular,"{'x': 27.7, 'y': 62, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.8, 'z': 19}","{'x': 15, 'y': 55.2, 'z': 0}","{'name': 'Dejan Stanivuković', 'slug': 'dejan-stanivukovic', 'shortName': 'D. Stanivuković', 'position': 'G', 'jerseyNumber': '94', 'userCount': 21, 'gender': 'M', 'id': 804837, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان ستانيفوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستانيفوكوفيتش'}}}",6706510,85,5082,"{'start': {'x': 62, 'y': 27.7}, 'block': {'x': 55.2, 'y': 15}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 81}}",6,318,2382,shot,
"{'name': 'Ibrahim Mustapha', 'firstName': '', 'lastName': '', 'slug': 'ibrahim-mustapha', 'shortName': 'I. Mustapha', 'position': 'F', 'jerseyNumber': '23', 'userCount': 208, 'gender': 'M', 'id': 1085212, 'fieldTranslations': {'nameTranslation': {'ar': 'ابراهيم مصطفى', 'bn': 'ইব্রাহিম মোস্তফা', 'hi': 'इब्राहीम मुस्तफा'}, 'shortNameTranslation': {'ar': 'ا. مصطفى', 'bn': 'আই. মোস্তফা', 'hi': 'आई. मुस्तफा'}}}",False,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 3.8}",,"{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706438,83,4933,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 96.2}}",8,467,2233,shot,penalty
"{'name': 'Gboly Ariyibi', 'firstName': 'Gboly', 'lastName': 'Ariyibi', 'slug': 'gboly-ariyibi', 'shortName': 'G. Ariyibi', 'position': 'M', 'jerseyNumber': '11', 'userCount': 60, 'gender': 'M', 'id': 370644, 'fieldTranslations': {'nameTranslation': {'ar': 'جبولي أرييبي'}, 'shortNameTranslation': {'ar': 'ج. أرييبي'}}}",False,save,regular,"{'x': 6.9, 'y': 55.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 13.3}","{'x': 4.1, 'y': 53.4, 'z': 0}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706388,79,4736,"{'start': {'x': 55.7, 'y': 6.9}, 'block': {'x': 53.4, 'y': 4.1}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 86.7}}",12,664,2036,shot,
"{'name': 'Ibrahim Mustapha', 'firstName': '', 'lastName': '', 'slug': 'ibrahim-mustapha', 'shortName': 'I. Mustapha', 'position': 'F', 'jerseyNumber': '23', 'userCount': 208, 'gender': 'M', 'id': 1085212, 'fieldTranslations': {'nameTranslation': {'ar': 'ابراهيم مصطفى', 'bn': 'ইব্রাহিম মোস্তফা', 'hi': 'इब्राहीम मुस्तफा'}, 'shortNameTranslation': {'ar': 'ا. مصطفى', 'bn': 'আই. মোস্তফা', 'hi': 'आई. मुस्तफा'}}}",False,block,assisted,"{'x': 19.3, 'y': 50.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.8, 'z': 19}","{'x': 14.1, 'y': 50.2, 'z': 0}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706387,79,4734,"{'start': {'x': 50.9, 'y': 19.3}, 'block': {'x': 50.2, 'y': 14.1}, 'end': {'x': 48.2, 'y': 0}, 'goal': {'x': 48.2, 'y': 81}}",12,666,2034,shot,
"{'name': 'Lazar Miladinović', 'firstName': 'Lazar Miladinovic', 'slug': 'lazar-miladinovic', 'shortName': 'L. Miladinović', 'position': 'D', 'jerseyNumber': '70', 'userCount': 23, 'gender': 'M', 'id': 1846384, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميلادينوفيتش'}, 'shortNameTranslation': {'ar': 'ل. ميلادينوفيتش'}}}",True,save,corner,"{'x': 6.3, 'y': 52.3, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.4, 'z': 19}","{'x': 0.7, 'y': 48, 'z': 0}","{'name': 'Dejan Stanivuković', 'slug': 'dejan-stanivukovic', 'shortName': 'D. Stanivuković', 'position': 'G', 'jerseyNumber': '94', 'userCount': 21, 'gender': 'M', 'id': 804837, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان ستانيفوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستانيفوكوفيتش'}}}",6706386,76,4529,"{'start': {'x': 52.3, 'y': 6.3}, 'block': {'x': 48, 'y': 0.7}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 81}}",15,871,1829,shot,
"{'name': 'Gboly Ariyibi', 'firstName': 'Gboly', 'lastName': 'Ariyibi', 'slug': 'gboly-ariyibi', 'shortName': 'G. Ariyibi', 'position': 'M', 'jerseyNumber': '11', 'userCount': 60, 'gender': 'M', 'id': 370644, 'fieldTranslations': {'nameTranslation': {'ar': 'جبولي أرييبي'}, 'shortNameTranslation': {'ar': 'ج. أرييبي'}}}",False,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 10.1}",,"{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706298,70,4188,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 89.9}}",21,1212,1488,shot,penalty
"{'name': 'Miloš Spasić', 'firstName': '', 'lastName': '', 'slug': 'milos-spasic', 'shortName': 'M. Spasić', 'position': 'F', 'jerseyNumber': '97', 'userCount': 83, 'gender': 'M', 'id': 1022054, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش سباسيتش'}, 'shortNameTranslation': {'ar': 'م. سباسيتش'}}}",False,save,regular,"{'x': 12.2, 'y': 59.3, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.1, 'z': 21.5}","{'x': 2, 'y': 52, 'z': 0}","{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706236,61,3646,"{'start': {'x': 59.3, 'y': 12.2}, 'block': {'x': 52, 'y': 2}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 78.5}}",30,1754,946,shot,
"{'name': 'Marko Mijailović', 'firstName': '', 'lastName': '', 'slug': 'marko-mijailovic', 'shortName': 'M. Mijailović', 'position': 'D', 'jerseyNumber': '2', 'userCount': 30, 'gender': 'M', 'id': 827547, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو مييالوفيتش', 'bn': 'মার্কো মিজাইলোভিচ', 'hi': 'मार्को मिजेलोविक'}, 'shortNameTranslation': {'ar': 'م. مييالوفيتش', 'bn': 'এম. মিজাইলোভিচ', 'hi': 'एम. मिजेलोविक'}}}",False,miss,assisted,"{'x': 28.6, 'y': 31.3, 'z': 0}",right-foot,high,"{'x': 0, 'y': 48.9, 'z': 65.3}",,"{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706235,61,3623,"{'start': {'x': 31.3, 'y': 28.6}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 34.7}}",30,1777,923,shot,
"{'name': 'Aleksandar Lutovac', 'firstName': 'Aleksandar', 'lastName': 'Lutovac', 'slug': 'aleksandar-lutovac', 'shortName': 'A. Lutovac', 'position': 'M', 'jerseyNumber': '15', 'userCount': 43, 'gender': 'M', 'id': 799152, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر لوتوفاك', 'bn': 'আলেকসান্ডার লুটোভাক', 'hi': 'अलेक्जेंडर लुटोवैक'}, 'shortNameTranslation': {'ar': 'أ. لوتوفاك', 'bn': 'এ. লুটোভাক', 'hi': 'ए. लुटोवैक'}}}",True,miss,regular,"{'x': 9.1, 'y': 65.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 60, 'z': 15.3}",,"{'name': 'Dejan Stanivuković', 'slug': 'dejan-stanivukovic', 'shortName': 'D. Stanivuković', 'position': 'G', 'jerseyNumber': '94', 'userCount': 21, 'gender': 'M', 'id': 804837, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان ستانيفوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستانيفوكوفيتش'}}}",6706205,57,3393,"{'start': {'x': 65.6, 'y': 9.1}, 'end': {'x': 40, 'y': 0}, 'goal': {'x': 40, 'y': 84.7}}",34,2007,693,shot,
"{'name': 'Miljan Ilić', 'slug': 'miljan-ilic', 'shortName': 'M. Ilić', 'position': 'D', 'jerseyNumber': '24', 'userCount': 13, 'gender': 'M', 'id': 926681, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلجان إيليتش'}, 'shortNameTranslation': {'ar': 'م. إيليتش'}}}",False,miss,set-piece,"{'x': 22.3, 'y': 36, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 51.3, 'z': 54.2}",,"{'name': 'Lazar Balević', 'firstName': 'Lazar Balevic', 'slug': 'lazar-balevic', 'shortName': 'L. Balević', 'position': 'G', 'jerseyNumber': '84', 'userCount': 103, 'gender': 'M', 'id': 1937361, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار باليفيتش'}, 'shortNameTranslation': {'ar': 'ل. باليفيتش'}}}",6706199,55,3243,"{'start': {'x': 36, 'y': 22.3}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 45.8}}",36,2157,543,shot,
"{'name': 'Miloš Tošeski', 'firstName': '', 'lastName': '', 'slug': 'milos-toseski', 'shortName': 'M. Tošeski', 'position': 'M', 'jerseyNumber': '22', 'userCount': 29, 'gender': 'M', 'id': 943362, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش توشيسكي'}, 'shortNameTranslation': {'ar': 'م. توشيسكي'}}}",True,miss,assisted,"{'x': 22.5, 'y': 38.5, 'z': 0}",right-foot,left,"{'x': 0, 'y': 62.4, 'z': 9.7}",,"{'name': 'Dejan Stanivuković', 'slug': 'dejan-stanivukovic', 'shortName': 'D. Stanivuković', 'position': 'G', 'jerseyNumber': '94', 'userCount': 21, 'gender': 'M', 'id': 804837, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان ستانيفوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستانيفوكوفيتش'}}}",6706178,52,3080,"{'start': {'x': 38.5, 'y': 22.5}, 'end': {'x': 37.6, 'y': 0}, 'goal': {'x': 37.6, 'y': 90.3}}",39,2320,380,shot,
