match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,totalCross,bigChanceCreated,penaltyConceded,keyPass,accurateCross,dispossessed,bigChanceMissed,shotOffTarget,totalOffside,goals,errorLeadToAGoal,punches,clearanceOffLine,penaltyWon,lastManTackle
14015584,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,23.0,20.0,5.0,2.0,0.0,18.0,19.0,2.0,4.0,6.0,1.0,5.0,2.0,5.0,1.0,1.0,90.0,34.0,7.6,3.0,43.911558269886,6.0,-16.098356597218,0.0,1.0476,"{'original': 7.6, 'alternative': 7}",0,0.01,-0.12,-0.36,0.74,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.95652173913044,40.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,98.0,84.0,12.0,6.0,0.0,45.0,47.0,39.0,51.0,1.0,,,,,,,90.0,107.0,6.5,14.0,460.59064695894,50.0,283.56468348416,6.0,,"{'original': 6.5, 'alternative': 6.8}",2,0.27,0.26,-0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,85.71428571428571,50.0,,,,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,28.845832622576,141.40795625117,-0.34,,,,,,,,,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,100.0,94.0,7.0,4.0,0.0,45.0,46.0,49.0,54.0,4.0,,,,,,,90.0,109.0,6.4,7.0,612.26215812509,61.0,386.20255789592,5.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.33,0.29,-0.74,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,94.0,57.14285714285714,,100.0,,1.0,2.0,3.0,5.0,,,2.0,,1.0,1.0,30.663677880978,134.28035152154,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,False,56.0,50.0,3.0,1.0,1.0,26.0,27.0,24.0,29.0,6.0,,,,,,,90.0,78.0,6.1,9.0,246.71011462933,28.0,142.09563021375,2.0,,"{'original': 6.1, 'alternative': 6.5}",0,0.42,0.07,-0.92,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,89.28571428571429,33.33333333333333,,,,2.0,3.0,6.0,7.0,,,3.0,,1.0,3.0,20.945034178479,43.116786203775,,1.0,,,1.0,3.0,1.0,,,3.0,1.0,1.0,2.0,,,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,23.0,18.0,1.0,1.0,0.0,10.0,11.0,8.0,12.0,8.0,,,,,,,90.0,43.0,5.9,14.0,70.430662195737,8.0,23.842735148036,1.0,,"{'original': 5.9, 'alternative': 5.8}",1,0.04,0.13,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,78.26086956521739,100.0,50.0,,,,,6.0,3.0,,,,,,3.0,13.632901103329,16.67635358824,-0.09,,2.0,,,3.0,1.0,,4.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
14015584,home,5149,FK Napredak Kruševac,1152937,Dragan Bojat,dragan-bojat,M,23,False,45.0,39.0,2.0,1.0,0.0,22.0,24.0,17.0,21.0,5.0,,,,,,,90.0,61.0,5.7,10.0,117.39009976633,13.0,13.928927150155,1.0,,"{'original': 5.7, 'alternative': 6.2}",0,-0.11,0.22,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,86.66666666666667,50.0,,,,,,3.0,3.0,,,3.0,,,2.0,11.382022881094,12.069217041714,,,,,1.0,3.0,2.0,,2.0,,,,,,1.0,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,False,58.0,53.0,6.0,4.0,0.0,25.0,26.0,28.0,32.0,4.0,,,,,,,90.0,79.0,6.7,13.0,251.60386387574,29.0,151.24895295147,2.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.33,0.07,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,4,7,91.37931034482759,66.66666666666666,33.33333333333333,50.0,,2.0,3.0,9.0,7.0,,1.0,2.0,,2.0,3.0,21.595474139087,41.911082062356,0.0,1.0,2.0,1.0,3.0,1.0,1.0,,3.0,3.0,,,,1.0,2.0,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,M,33,False,17.0,13.0,1.0,,0.0,5.0,6.0,8.0,11.0,1.0,,,,,,,65.0,35.0,6.0,12.0,150.54457558445,13.0,46.856826352903,3.0,,"{'original': 6, 'alternative': 6.1}",1,0.31,0.27,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,2,7,76.47058823529412,,40.0,50.0,,1.0,1.0,8.0,3.0,,1.0,,,,2.0,21.431856786481,50.323455575794,-0.05,2.0,4.0,2.0,,,,,2.0,5.0,,,1.0,2.0,1.0,,,,,,,,,
14015584,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,F,10,False,26.0,21.0,2.0,1.0,0.0,5.0,5.0,16.0,21.0,2.0,,,,,,,65.0,41.0,7.8,12.0,193.85568644325,16.0,81.801073332506,4.0,,"{'original': 7.8, 'alternative': 7.4}",2,-0.04,0.15,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,80.76923076923077,50.0,,,,1.0,2.0,5.0,6.0,1.0,1.0,1.0,,1.0,2.0,18.817982081026,68.516553591126,0.49,,,,,3.0,2.0,,3.0,1.0,,,,,2.0,,,,1.0,,,,,
14015584,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,F,22,False,26.0,21.0,4.0,3.0,0.0,8.0,9.0,13.0,17.0,,,,,,,,54.0,29.0,7.0,5.0,77.16206003628,11.0,35.713367127041,2.0,,"{'original': 7, 'alternative': 7.2}",1,0.17,0.13,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.76923076923077,75.0,100.0,,,,,,,,,,,,,15.806430506356,22.70353532515,-0.12,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,
