match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,interceptionWon,wasFouled,fouls,keyPass,aerialLost,dispossessed,outfielderBlock,errorLeadToAShot,bigChanceCreated,totalTackle,wonTackle,unsuccessfulTouch,bestBallCarryProgression,totalProgressiveBallCarriesDistance,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,shotValueNormalized,goals
14015586,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,32.0,24.0,17.0,9.0,0.0,19.0,22.0,5.0,10.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,41.0,7.1,8.0,48.674654686477,9.0,-12.599271280725,0.0,0.4,"{'original': 7.1, 'alternative': 6.8}",0,0.08,-0.05,-0.09,0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,52.94117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,56.0,48.0,6.0,4.0,0.0,22.0,24.0,26.0,32.0,4.0,5.0,,,,,90.0,78.0,6.8,12.0,179.85179905037,27.0,55.836823948166,0.0,,"{'original': 6.8, 'alternative': 7.1}",0,0.28,0.08,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,85.71428571428571,66.66666666666666,33.33333333333333,,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,59.0,50.0,5.0,3.0,0.0,31.0,34.0,19.0,25.0,4.0,3.0,,,,,87.0,67.0,6.9,10.0,137.69120033605,19.0,37.503389051454,0.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.18,0.07,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,2,0,84.7457627118644,60.0,,,,,,4.0,2.0,6.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,108736,Stefan Mitrović,stefan-mitrovic,D,23,False,73.0,68.0,4.0,2.0,0.0,52.0,55.0,16.0,18.0,8.0,3.0,,,,,90.0,86.0,6.6,6.0,217.18558761074,29.0,59.82610034842,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.23,0.09,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,93.15068493150685,50.0,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,47.0,41.0,3.0,2.0,1.0,19.0,21.0,22.0,26.0,1.0,6.0,,,,,90.0,61.0,7.8,9.0,192.39985077294,21.0,87.340262473313,2.0,,"{'original': 7.8, 'alternative': 7.4}",0,0.63,0.1,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,87.2340425531915,66.66666666666666,33.33333333333333,,,3.0,1.0,,,3.0,1.0,1.0,,2.0,,,,,1.0,2.0,1.0,1.0,30.772356235453,47.961177628361,,,,,,,,,,
14015586,home,5152,FK Partizan,188115,Saša Zdjelar,sasa-zdjelar,M,14,False,91.0,85.0,9.0,8.0,0.0,44.0,48.0,41.0,43.0,3.0,4.0,,,,,90.0,107.0,7.6,9.0,295.31642793244,43.0,67.291512105951,1.0,,"{'original': 7.6, 'alternative': 7.2}",0,0.32,0.17,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,93.4065934065934,88.88888888888889,,,,,,2.0,3.0,6.0,1.0,2.0,,,2.0,1.0,,,,2.0,1.0,2.0,20.113118071251,25.695436248486,,,,,,,,,,
14015586,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,23.0,17.0,,,1.0,4.0,5.0,13.0,18.0,,5.0,,,,,90.0,50.0,7.3,17.0,266.83932150383,27.0,111.5293349669,5.0,,"{'original': 7.3, 'alternative': 7.2}",3,0.52,0.46,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,8,8,73.91304347826086,,,42.857142857142854,,3.0,,2.0,8.0,10.0,,3.0,,2.0,,1.0,,,1.0,2.0,1.0,3.0,13.070932346425,92.533701095675,3.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,-0.62,
14015586,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,24.0,21.0,4.0,3.0,0.0,9.0,10.0,12.0,14.0,,1.0,,,,,73.0,32.0,7.5,5.0,96.638218061828,13.0,17.247129804272,1.0,,"{'original': 7.5, 'alternative': 7.6}",3,0.02,-0.16,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,87.5,75.0,,,,1.0,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,9.4834229930997,10.043032410582,1.0,,,,2.0,1.0,,,0.45,1.0
14015586,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,24.0,19.0,1.0,,0.0,9.0,9.0,10.0,15.0,1.0,3.0,,,,,87.0,38.0,6.9,10.0,110.98198880814,13.0,58.239019969824,4.0,,"{'original': 6.9, 'alternative': 6.8}",1,-0.01,0.39,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,79.16666666666666,,,,,1.0,,2.0,3.0,5.0,,1.0,,,1.0,1.0,,,,2.0,1.0,2.0,12.98540041876,45.24243389964,,1.0,,,,1.0,,,-0.09,
14015586,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,32.0,27.0,6.0,4.0,0.0,8.0,8.0,19.0,24.0,1.0,2.0,,,,,87.0,53.0,7.5,14.0,241.68942548603,19.0,178.2612907057,5.0,,"{'original': 7.5, 'alternative': 7.5}",1,0.42,0.32,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,84.375,66.66666666666666,20.0,50.0,,5.0,1.0,,5.0,5.0,,2.0,,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,48.367842958624,141.90454856752,1.0,2.0,1.0,,,1.0,,,0.01,
