match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,errorLeadToAShot,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,aerialLost,aerialWon,duelLost,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,wasFouled,fouls,accurateCross,bigChanceCreated,blockedScoringAttempt,dispossessed,onTargetScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,bigChanceMissed,totalOffside,goals
14015587,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,34.0,18.0,23.0,10.0,0.0,12.0,17.0,6.0,17.0,1.0,1.0,1.0,16.0,1.0,3.0,4.0,9.0,1.0,1.0,90.0,49.0,8.1,16.0,38.460253758203,9.0,13.559747585746,0.0,1.2767,"{'original': 8.1, 'alternative': 8.2}",0,-0.01,-0.02,-0.32,0.74,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,52.94117647058824,43.47826086956522,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,25.0,20.0,3.0,2.0,0.0,11.0,15.0,9.0,10.0,3.0,2.0,2.0,2.0,,,,,,,76.0,37.0,6.2,8.0,83.698866394183,11.0,45.486997767259,0.0,,"{'original': 6.2, 'alternative': 6.5}",0,-0.05,0.14,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,80.0,66.66666666666666,,100.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,2276490,Abdoul Sawadogo,abdoul-sawadogo,D,16,False,49.0,38.0,9.0,3.0,0.0,30.0,33.0,8.0,16.0,9.0,1.0,,4.0,,,,,,,90.0,73.0,7.1,14.0,66.665444272455,12.0,-1.9149432323745,0.0,,"{'original': 7.1, 'alternative': 7}",2,-0.17,0.0,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,3,2,77.55102040816327,33.33333333333333,,,,,9.0,1.0,3.0,2.0,,,1.0,6.0,3.0,1.0,2.0,1.0,-0.37,,,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,35.0,31.0,8.0,4.0,0.0,23.0,23.0,8.0,12.0,3.0,,,,,,,,,,90.0,52.0,6.4,5.0,66.486959681509,10.0,43.930092692702,0.0,,"{'original': 6.4, 'alternative': 6.7}",0,0.1,0.05,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,88.57142857142857,50.0,,,,,9.0,2.0,,,1.0,,1.0,2.0,4.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,19.0,16.0,3.0,,0.0,5.0,5.0,11.0,14.0,3.0,2.0,2.0,,,,,,,,90.0,29.0,5.9,7.0,40.051230184122,8.0,-6.950955946196,0.0,,"{'original': 5.9, 'alternative': 6.3}",0,0.48,0.01,-0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,84.21052631578947,,25.0,100.0,,4.0,,,1.0,,,2.0,2.0,,4.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,45.0,39.0,1.0,1.0,0.0,25.0,27.0,14.0,18.0,3.0,,,6.0,,,,,,,90.0,57.0,7.5,8.0,105.33794374246,13.0,34.948617569736,0.0,,"{'original': 7.5, 'alternative': 6.9}",0,0.18,0.1,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,86.66666666666667,100.0,,,,1.0,3.0,1.0,,,1.0,1.0,,,2.0,1.0,,3.0,,3.0,1.0,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,M,17,False,8.0,8.0,2.0,2.0,0.0,2.0,2.0,6.0,6.0,5.0,5.0,2.0,1.0,,,,,,,76.0,20.0,6.5,4.0,56.432569978612,8.0,25.066608644242,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.05,0.11,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,100.0,100.0,,40.0,,,1.0,,,,1.0,,1.0,,5.0,,,1.0,,3.0,1.0,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,24.0,19.0,3.0,1.0,0.0,7.0,8.0,12.0,16.0,1.0,,,3.0,,,,,,,66.0,34.0,6.4,8.0,48.039037152409,6.0,6.9663310742166,0.0,,"{'original': 6.4, 'alternative': 6.6}",1,0.23,0.14,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,79.16666666666666,33.33333333333333,,,,2.0,,1.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,-0.15,1.0,1.0,,,,,,,,,,
14015587,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,23.0,16.0,1.0,1.0,0.0,11.0,14.0,5.0,9.0,5.0,2.0,2.0,3.0,,,,,,,90.0,34.0,6.7,7.0,60.325605693088,7.0,-18.764914873262,0.0,,"{'original': 6.7, 'alternative': 6.6}",2,0.08,-0.11,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,69.56521739130434,100.0,,100.0,,,,,1.0,,,,1.0,,3.0,,,1.0,-0.15,2.0,2.0,,,2.0,,,,,,,
14015587,home,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,11.0,10.0,2.0,2.0,0.0,2.0,2.0,8.0,9.0,5.0,3.0,2.0,2.0,,,,,,,90.0,39.0,6.4,13.0,97.384819233205,9.0,53.079811780915,4.0,,"{'original': 6.4, 'alternative': 7}",3,0.06,0.3,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,90.9090909090909,100.0,50.0,66.66666666666666,,8.0,1.0,,1.0,,2.0,2.0,1.0,,5.0,,1.0,,-0.51,2.0,,4.0,,,3.0,2.0,23.127395174755,64.694515264257,,,
14015587,home,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,15.0,11.0,1.0,,0.0,1.0,1.0,10.0,14.0,7.0,,,2.0,,,,,,,80.0,29.0,7.0,7.0,76.136200523951,9.0,31.265472222423,2.0,,"{'original': 7, 'alternative': 6.8}",2,0.1,0.26,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,3,2,73.33333333333333,,,,,,1.0,2.0,,,3.0,,2.0,4.0,4.0,,1.0,,-0.69,3.0,2.0,,,,,1.0,22.402861964394,39.817396554286,1.0,2.0,
