player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Simão Pedro', 'firstName': 'Simão Pedro', 'slug': 'simao-pedro', 'shortName': 'S. Pedro', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 2239937, 'fieldTranslations': {'nameTranslation': {'ar': 'سيمون بيدرو'}, 'shortNameTranslation': {'ar': 'س. بيدرو'}}}",False,miss,corner,"{'x': 19.4, 'y': 50.1, 'z': 0}",left-foot,left,"{'x': 0, 'y': 66.4, 'z': 27.8}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6750163,90,2.0,5508,"{'start': {'x': 50.1, 'y': 19.4}, 'end': {'x': 33.6, 'y': 0}, 'goal': {'x': 33.6, 'y': 72.2}}",1,792,108,shot,
"{'name': 'Stefan Pirgić', 'firstName': 'Stefan Pirgic', 'slug': 'stefan-pirgic', 'shortName': 'S. Pirgić', 'position': 'F', 'jerseyNumber': '18', 'userCount': 27, 'gender': 'M', 'id': 1146227, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بيرجيتش'}, 'shortNameTranslation': {'ar': 'س. بيرجيتش'}}}",False,save,assisted,"{'x': 28.2, 'y': 51.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46, 'z': 2.5}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6750162,90,1.0,5443,"{'start': {'x': 51.7, 'y': 28.2}, 'block': {'x': 49.8, 'y': 1.4}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 97.5}}",1,857,43,shot,"{'x': 1.4, 'y': 49.8, 'z': 0}"
"{'name': 'Miljan Momčilović', 'slug': 'miljan-momcilovic', 'shortName': 'M. Momčilović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 46, 'gender': 'M', 'id': 1000367, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلجان مومتشيلوفيتش'}, 'shortNameTranslation': {'ar': 'م. مومتشيلوفيتش'}}}",True,miss,assisted,"{'x': 29.4, 'y': 52.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 43.7, 'z': 86.1}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6750117,88,,5266,"{'start': {'x': 52.1, 'y': 29.4}, 'end': {'x': 56.3, 'y': 0}, 'goal': {'x': 56.3, 'y': 13.9}}",3,134,2566,shot,
"{'name': 'Tayrell Wouter', 'firstName': 'Tayrell Wouter', 'slug': 'tayrell-wouter', 'shortName': 'T. Wouter', 'position': 'M', 'jerseyNumber': '7', 'userCount': 113, 'gender': 'M', 'id': 1186804, 'fieldTranslations': {'nameTranslation': {'ar': 'تايريل ووتر'}, 'shortNameTranslation': {'ar': 'ت. ووتر'}}}",True,save,assisted,"{'x': 10.7, 'y': 68.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52, 'z': 4.4}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6750116,86,,5145,"{'start': {'x': 68.9, 'y': 10.7}, 'block': {'x': 52.5, 'y': 1.1}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 95.6}}",5,255,2445,shot,"{'x': 1.1, 'y': 52.5, 'z': 0}"
"{'name': 'Kwaku Karikari', 'firstName': '', 'lastName': '', 'slug': 'kwaku-karikari', 'shortName': 'K. Karikari', 'position': 'F', 'jerseyNumber': '70', 'userCount': 197, 'gender': 'M', 'id': 1399471, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو كاركارى'}, 'shortNameTranslation': {'ar': 'ك. كاركارى'}}}",False,miss,fast-break,"{'x': 18.1, 'y': 68, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.5, 'z': 18.1}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6749995,75,,4479,"{'start': {'x': 68, 'y': 18.1}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 81.9}}",16,921,1779,shot,
"{'name': 'Clement Lhernault', 'slug': 'clement-lhernault', 'shortName': 'C. Lhernault', 'position': 'M', 'jerseyNumber': '88', 'userCount': 32, 'gender': 'M', 'id': 1513253, 'fieldTranslations': {'nameTranslation': {'ar': 'ليرنو، كلمنت'}, 'shortNameTranslation': {'ar': 'ك. ليرنو'}}}",False,block,regular,"{'x': 13.5, 'y': 47.4, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.6, 'z': 19}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6749341,50,,2994,"{'start': {'x': 47.4, 'y': 13.5}, 'block': {'x': 48.9, 'y': 6.7}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 81}}",41,2406,294,shot,"{'x': 6.7, 'y': 48.9, 'z': 0}"
"{'name': 'Kwaku Karikari', 'firstName': '', 'lastName': '', 'slug': 'kwaku-karikari', 'shortName': 'K. Karikari', 'position': 'F', 'jerseyNumber': '70', 'userCount': 197, 'gender': 'M', 'id': 1399471, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو كاركارى'}, 'shortNameTranslation': {'ar': 'ك. كاركارى'}}}",False,block,assisted,"{'x': 12.8, 'y': 65.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.6, 'z': 19}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6749332,50,,2993,"{'start': {'x': 65.6, 'y': 12.8}, 'block': {'x': 61.6, 'y': 9.2}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 81}}",41,2407,293,shot,"{'x': 9.2, 'y': 61.6, 'z': 0}"
"{'name': 'Andrej Pavlovic', 'firstName': 'Andrej Pavlovic', 'slug': 'andrej-pavlovic', 'shortName': 'A. Pavlović', 'position': 'D', 'jerseyNumber': '4', 'userCount': 49, 'gender': 'M', 'id': 1981967, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه بافلوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بافلوفيتش'}}}",True,block,corner,"{'x': 6.3, 'y': 47.9, 'z': 0}",head,low-left,"{'x': 0, 'y': 53.2, 'z': 19}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6749009,41,,2450,"{'start': {'x': 47.9, 'y': 6.3}, 'block': {'x': 47.7, 'y': 4.9}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 81}}",5,250,2450,shot,"{'x': 4.9, 'y': 47.7, 'z': 0}"
"{'name': 'Sylvester Jasper', 'firstName': '', 'lastName': '', 'slug': 'jasper-sylvester', 'shortName': 'S. Jasper', 'position': 'M', 'jerseyNumber': '27', 'userCount': 191, 'gender': 'M', 'id': 1013994, 'fieldTranslations': {'nameTranslation': {'ar': 'جاسبر، سيلفستر', 'bn': 'জ্যাসপার, সিলভেস্টার', 'hi': 'जैस्पर, सिल्वेस्टर'}, 'shortNameTranslation': {'ar': 'ج. سيلفستر', 'bn': 'এস. জ্যাসপার', 'hi': 'एस. जैस्पर'}}}",False,save,assisted,"{'x': 23.5, 'y': 26.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52, 'z': 2.5}","{'name': 'Balša Popović', 'firstName': 'Balsa Popovic', 'lastName': '', 'slug': 'balsa-popovic', 'shortName': 'B. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 174, 'gender': 'M', 'id': 1126067, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوبوفيتش'}}}",6748967,38,,2223,"{'start': {'x': 26.4, 'y': 23.5}, 'block': {'x': 47.8, 'y': 1}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 97.5}}",8,477,2223,shot,"{'x': 1, 'y': 47.8, 'z': 0}"
"{'name': 'Miloš Pantović', 'slug': 'milos-pantovic', 'shortName': 'M. Pantović', 'position': 'M', 'jerseyNumber': '27', 'userCount': 80, 'gender': 'M', 'id': 352610, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش بانتوفيتش', 'bn': 'মিলোস প্যান্টোভিচ', 'hi': 'मिलोस पेंटोविक'}, 'shortNameTranslation': {'ar': 'م. بانتوفيتش', 'bn': 'এম. প্যান্টোভিচ', 'hi': 'एम. पेंटोविक'}}}",True,miss,assisted,"{'x': 19.2, 'y': 37.8, 'z': 0}",right-foot,right,"{'x': 0, 'y': 35.6, 'z': 12.5}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6748865,29,,1698,"{'start': {'x': 37.8, 'y': 19.2}, 'end': {'x': 64.4, 'y': 0}, 'goal': {'x': 64.4, 'y': 87.5}}",17,1002,1698,shot,
