player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Mohamed Cissé', 'firstName': 'Mohamed Cisse', 'lastName': '', 'slug': 'mohamed-cisse', 'shortName': 'M. Cissé', 'position': 'F', 'jerseyNumber': '10', 'userCount': 52, 'gender': 'M', 'id': 1133670, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد سيسي', 'bn': 'মোহাম্মদ সিসে', 'hi': 'मोहम्मद सिस्से'}, 'shortNameTranslation': {'ar': 'م. سيسي', 'bn': 'এম. সিসি', 'hi': 'एम. सिस्से'}}}",False,miss,throw-in-set-piece,"{'x': 25.1, 'y': 50.3, 'z': 0}",left-foot,left,"{'x': 0, 'y': 63.5, 'z': 20.8}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6760090,90,4.0,5580,"{'start': {'x': 50.3, 'y': 25.1}, 'end': {'x': 36.5, 'y': 0}, 'goal': {'x': 36.5, 'y': 79.2}}",1,720,180,shot,,
"{'name': 'Lincoln', 'slug': 'lincoln', 'shortName': 'Lincoln', 'position': 'F', 'jerseyNumber': '9', 'userCount': 613, 'gender': 'M', 'id': 905454, 'fieldTranslations': {'nameTranslation': {'ar': 'لينكولن'}, 'shortNameTranslation': {'ar': 'لينكولن'}}}",True,miss,assisted,"{'x': 12.2, 'y': 45, 'z': 0}",head,right,"{'x': 0, 'y': 39.5, 'z': 26.4}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6760077,90,1.0,5458,"{'start': {'x': 45, 'y': 12.2}, 'end': {'x': 60.5, 'y': 0}, 'goal': {'x': 60.5, 'y': 73.6}}",1,842,58,shot,,
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,miss,throw-in-set-piece,"{'x': 12.3, 'y': 46, 'z': 0}",head,right,"{'x': 0, 'y': 39.3, 'z': 5.6}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6760054,88,,5248,"{'start': {'x': 46, 'y': 12.3}, 'end': {'x': 60.7, 'y': 0}, 'goal': {'x': 60.7, 'y': 94.4}}",3,152,2548,shot,,
"{'name': 'Lincoln', 'slug': 'lincoln', 'shortName': 'Lincoln', 'position': 'F', 'jerseyNumber': '9', 'userCount': 613, 'gender': 'M', 'id': 905454, 'fieldTranslations': {'nameTranslation': {'ar': 'لينكولن'}, 'shortNameTranslation': {'ar': 'لينكولن'}}}",True,block,free-kick,"{'x': 18.4, 'y': 48.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.2, 'z': 19}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6760020,82,,4877,"{'start': {'x': 48.1, 'y': 18.4}, 'block': {'x': 49.8, 'y': 9.8}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",9,523,2177,shot,"{'x': 9.8, 'y': 49.8, 'z': 0}",
"{'name': 'Kwaku Bonsu Osei Gaucho', 'firstName': '', 'lastName': '', 'slug': 'kwaku-bonsu-osei-gaucho', 'shortName': 'K. B. O. Gaucho', 'position': 'F', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1009837, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو بونسو أوسي غاوتشو'}, 'shortNameTranslation': {'ar': 'ك. غاوتشو'}}}",True,miss,corner,"{'x': 25.9, 'y': 54.8, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.2, 'z': 5.6}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6759978,80,,4766,"{'start': {'x': 54.8, 'y': 25.9}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 94.4}}",11,634,2066,shot,,
"{'name': 'Ibrahim Yusuf Omosanya', 'firstName': 'Ibrahim', 'lastName': 'Yusuf Omosanya', 'slug': 'ibrahim-yusuf-omosanya', 'shortName': 'I. Y. Omosanya', 'position': 'M', 'jerseyNumber': '22', 'userCount': 17, 'gender': 'M', 'id': 1853855, 'fieldTranslations': {'nameTranslation': {'ar': 'إبراهيم يوسف أوموسانيا'}, 'shortNameTranslation': {'ar': 'إ. أوموسانيا'}}}",False,miss,regular,"{'x': 30.3, 'y': 56.6, 'z': 0}",right-foot,right,"{'x': 0, 'y': 40.5, 'z': 20.8}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6759957,78,,4627,"{'start': {'x': 56.6, 'y': 30.3}, 'end': {'x': 59.5, 'y': 0}, 'goal': {'x': 59.5, 'y': 79.2}}",13,773,1927,shot,,
"{'name': 'Nemanja Krsmanović', 'firstName': 'Nemanja', 'lastName': 'Krsmanovic', 'slug': 'nemanja-krsmanovic', 'shortName': 'N. Krsmanović', 'position': 'D', 'jerseyNumber': '49', 'userCount': 30, 'gender': 'M', 'id': 1093730, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كرسمنوفيتش'}, 'shortNameTranslation': {'ar': 'ن. كرسمنوفيتش'}}}",True,goal,assisted,"{'x': 5.4, 'y': 38.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 51.9, 'z': 26.6}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6759900,69,,4097,"{'start': {'x': 38.3, 'y': 5.4}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 73.4}}",22,1303,1397,shot,,regular
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,goal,regular,"{'x': 8, 'y': 52.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.2, 'z': 1.9}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6759889,65,,3881,"{'start': {'x': 52.6, 'y': 8}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 98.1}}",26,1519,1181,shot,,regular
"{'name': 'Mohamed Cissé', 'firstName': 'Mohamed Cisse', 'lastName': '', 'slug': 'mohamed-cisse', 'shortName': 'M. Cissé', 'position': 'F', 'jerseyNumber': '10', 'userCount': 52, 'gender': 'M', 'id': 1133670, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد سيسي', 'bn': 'মোহাম্মদ সিসে', 'hi': 'मोहम्मद सिस्से'}, 'shortNameTranslation': {'ar': 'م. سيسي', 'bn': 'এম. সিসি', 'hi': 'एम. सिस्से'}}}",False,save,assisted,"{'x': 17.6, 'y': 54.4, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 48.5, 'z': 28.5}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6759888,65,,3878,"{'start': {'x': 54.4, 'y': 17.6}, 'block': {'x': 51.6, 'y': 2}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 71.5}}",26,1522,1178,shot,"{'x': 2, 'y': 51.6, 'z': 0}",
"{'name': 'Ester Sokler', 'slug': 'sokler-ester', 'shortName': 'E. Sokler', 'position': 'F', 'jerseyNumber': '19', 'userCount': 203, 'gender': 'M', 'id': 862199, 'fieldTranslations': {'nameTranslation': {'ar': 'سوكلير، إيستر', 'bn': 'সোক্লার, এস্টার', 'hi': 'सोक्लर, एस्टर'}, 'shortNameTranslation': {'ar': 'س. إيستر', 'bn': 'ই. সোক্লার', 'hi': 'ई. सोक्लर'}}}",False,goal,assisted,"{'x': 4.5, 'y': 48.5, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 5.7}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6759796,61,,3616,"{'start': {'x': 48.5, 'y': 4.5}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 94.3}}",30,1784,916,shot,,regular
