match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,aerialWon,challengeLost,outfielderBlock,wasFouled,fouls,dispossessed,totalContest,wonContest,blockedScoringAttempt,shotValueNormalized,totalCross,accurateCross,onTargetScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotOffTarget,totalOffside,bigChanceMissed,lastManTackle,bigChanceCreated,hitWoodwork,goals,errorLeadToAShot
14015602,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,28.0,11.0,19.0,3.0,0.0,9.0,12.0,2.0,16.0,3.0,9.0,6.0,8.0,1.0,1.0,1.0,90.0,47.0,7.6,17.0,57.784368326799,7.0,14.963524481107,0.0,1.5214,"{'original': 7.6, 'alternative': 7.9}",0,0.02,0.0,-0.19,0.94,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,39.285714285714285,15.789473684210526,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,31.0,21.0,6.0,1.0,0.0,11.0,17.0,10.0,14.0,3.0,3.0,,,,,,86.0,53.0,6.0,15.0,86.979488402099,12.0,18.420594566341,0.0,,"{'original': 6, 'alternative': 6.3}",0,0.08,0.01,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,67.74193548387096,16.666666666666664,,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,25.0,21.0,3.0,1.0,0.0,15.0,15.0,6.0,10.0,6.0,9.0,,,,,,90.0,42.0,6.4,5.0,188.84465156564,21.0,64.700573574805,0.0,,"{'original': 6.4, 'alternative': 6.7}",0,-0.03,0.18,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,2,1,84.0,33.33333333333333,,,,4.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,False,40.0,32.0,8.0,4.0,0.0,18.0,21.0,14.0,19.0,4.0,3.0,,,,,,90.0,47.0,6.5,8.0,109.7480095133,16.0,34.727465798633,0.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.06,0.04,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,80.0,50.0,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,804844,Bojan Kovačević,bojan-kovacevic,D,34,False,24.0,16.0,5.0,2.0,0.0,12.0,16.0,4.0,8.0,7.0,5.0,,,,,,90.0,50.0,6.3,13.0,87.899908576241,12.0,32.184005516293,0.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.09,0.03,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,66.66666666666666,40.0,,100.0,,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,-0.32,,,,,,,,,,,,,,
14015602,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,False,16.0,11.0,3.0,,0.0,5.0,5.0,6.0,11.0,4.0,3.0,,,,,,70.0,32.0,6.6,8.0,49.019092667283,7.0,-16.39183496526,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.11,0.17,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,68.75,,,,,2.0,7.0,4.0,,2.0,1.0,2.0,2.0,4.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,12.0,9.0,1.0,,0.0,5.0,5.0,4.0,7.0,1.0,2.0,,,,,,90.0,22.0,6.6,5.0,64.148966630004,8.0,-5.158043397982,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.01,0.02,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,75.0,,,,,1.0,2.0,4.0,,1.0,1.0,1.0,,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,1133670,Mohamed Cissé,mohamed-cisse,M,10,False,18.0,16.0,,,0.0,7.0,7.0,9.0,11.0,1.0,6.0,,,,,,86.0,54.0,7.4,18.0,176.31608350912,20.0,78.077285529449,3.0,,"{'original': 7.4, 'alternative': 6.8}",1,0.48,0.33,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,0,17,9,8,88.88888888888889,,40.0,50.0,,,8.0,9.0,2.0,3.0,2.0,10.0,,6.0,,4.0,,,4.0,2.0,,-0.08,5.0,2.0,1.0,20.34439236795,55.993210161654,2.0,,,,,,,,
14015602,home,43981,FK Radnički 1923,801236,Evandro,evandro,M,9,False,16.0,9.0,2.0,1.0,0.0,3.0,5.0,6.0,11.0,1.0,1.0,,,,,,61.0,32.0,6.1,15.0,48.465612542864,8.0,3.1354914513044,0.0,,"{'original': 6.1, 'alternative': 6.3}",0,-0.08,-0.08,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,2,5,56.25,50.0,,25.0,,5.0,10.0,3.0,1.0,,,1.0,1.0,,,1.0,,2.0,4.0,1.0,,,1.0,,,,,,,,,,,,,
14015602,home,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,M,77,False,19.0,10.0,2.0,,0.0,4.0,7.0,6.0,12.0,,5.0,,,,,,90.0,28.0,6.3,12.0,148.69535768703,13.0,29.056514214812,3.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.04,0.22,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,52.63157894736842,,,66.66666666666666,,,5.0,7.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,2.0,3.0,2.0,,-0.36,,,,18.525288542062,51.288338400468,,1.0,1.0,,,,,,
