match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,interceptionWon,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,aerialLost,dispossessed,bigChanceCreated,blockedScoringAttempt,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot
14015603,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,27.0,16.0,13.0,2.0,0.0,15.0,19.0,1.0,8.0,1.0,10.0,2.0,1.0,1.0,1.0,90.0,37.0,6.2,11.0,5.2370527016634,1.0,-0.061436342749928,0.0,0.1528,"{'original': 6.2, 'alternative': 6.3}",0,-0.01,-0.02,-0.21,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,59.25925925925925,15.384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,60.0,40.0,10.0,2.0,0.0,24.0,34.0,16.0,26.0,,6.0,,,,,90.0,80.0,6.0,23.0,201.58596060226,22.0,81.401955645217,1.0,,"{'original': 6, 'alternative': 6.2}",1,0.1,0.08,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,66.66666666666666,20.0,50.0,50.0,,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,23.654600941039,25.185047170891,1.0,-0.05,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,28.0,23.0,6.0,1.0,0.0,22.0,25.0,1.0,3.0,3.0,1.0,,,,,90.0,36.0,6.0,6.0,53.517551376881,9.0,19.545751283701,0.0,,"{'original': 6, 'alternative': 6.5}",0,-0.06,0.07,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.14285714285714,16.666666666666664,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,108736,Stefan Mitrović,stefan-mitrovic,D,23,False,38.0,34.0,8.0,5.0,0.0,31.0,32.0,3.0,6.0,8.0,,,,,,90.0,53.0,6.7,5.0,36.067999123857,6.0,1.3858698534679,0.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.05,0.01,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,89.47368421052632,62.5,,,,,,,,3.0,,,,,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,
14015603,home,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,False,37.0,24.0,7.0,,0.0,11.0,19.0,13.0,18.0,,6.0,,,,,90.0,62.0,6.2,22.0,148.71470688479,14.0,66.291671512837,2.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.03,0.11,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,6,4,64.86486486486487,,,,,1.0,,,4.0,6.0,1.0,1.0,,,1.0,1.0,2.0,31.465735209743,57.910038087779,,,,5.0,4.0,1.0,,,,,,,,,,,
14015603,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,21.0,15.0,,,0.0,7.0,8.0,8.0,13.0,,4.0,,,,,45.0,27.0,6.7,7.0,79.973007857415,12.0,-4.403730696431,0.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.17,0.38,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,71.42857142857143,,,,,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,,,,-0.51,,1.0,,1.0,,,,,,,,,,,
14015603,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,50.0,35.0,10.0,3.0,0.0,23.0,31.0,12.0,19.0,4.0,4.0,,,,,90.0,67.0,6.8,17.0,79.080440449384,14.0,-10.087063449946,0.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.08,0.05,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,7,3,70.0,30.0,,100.0,,,,1.0,3.0,8.0,1.0,1.0,1.0,1.0,,3.0,2.0,,,1.0,-0.23,,3.0,1.0,1.0,,,,,,,,,,,
14015603,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,23.0,17.0,,,1.0,8.0,8.0,9.0,15.0,1.0,4.0,,,,,90.0,49.0,8.1,14.0,196.01018873586,18.0,122.76580144518,6.0,,"{'original': 8.1, 'alternative': 7.3}",1,0.98,0.49,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,1,19,10,9,73.91304347826086,,66.66666666666666,60.0,,3.0,2.0,,10.0,10.0,2.0,5.0,3.0,,1.0,5.0,4.0,24.761301592788,124.49613432633,4.0,-0.12,,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,
14015603,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,27.0,22.0,3.0,2.0,0.0,10.0,13.0,12.0,14.0,,3.0,,,,,87.0,47.0,6.4,14.0,102.53674936108,13.0,20.199400036396,0.0,,"{'original': 6.4, 'alternative': 6.6}",2,0.02,-0.24,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,81.48148148148148,66.66666666666666,20.0,,,5.0,1.0,1.0,6.0,6.0,1.0,2.0,,,,1.0,,,,3.0,-0.49,,4.0,3.0,1.0,1.0,2.0,,,,1.0,2.0,,,,
14015603,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,13.0,9.0,,,0.0,4.0,5.0,5.0,8.0,1.0,2.0,,,,,62.0,22.0,6.6,9.0,45.412193596773,7.0,26.50579700194,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.05,0.11,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,69.23076923076923,,,50.0,,,,,3.0,3.0,,2.0,1.0,,1.0,2.0,,,,,,,,,,,2.0,,,1.0,,,,,,
