match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,unsuccessfulTouch,onTargetScoringAttempt,goals,outfielderBlock,shotValueNormalized,bigChanceCreated,keyPass,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalOffside,totalCross,blockedScoringAttempt,accurateCross,wonContest,shotOffTarget,clearanceOffLine,errorLeadToAShot,bigChanceMissed
14015605,home,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,29.0,13.0,23.0,7.0,0.0,6.0,7.0,7.0,22.0,1.0,12.0,2.0,1.0,2.0,1.0,1.0,90.0,37.0,6.8,16.0,12.113292687955,2.0,8.5051524809227,0.0,0.2344,"{'original': 6.8, 'alternative': 7}",0,0.06,0.0,0.26,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,44.827586206896555,30.434782608695656,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,D,8,False,22.0,18.0,4.0,2.0,0.0,12.0,14.0,6.0,8.0,3.0,4.0,,,,,,90.0,45.0,6.5,11.0,97.983497548206,13.0,17.809788513627,0.0,,"{'original': 6.5, 'alternative': 6.9}",0,0.1,0.12,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,3,7,81.81818181818183,50.0,,,,2.0,1.0,9.0,4.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,36.0,26.0,12.0,5.0,0.0,19.0,22.0,7.0,14.0,6.0,6.0,,,,,,90.0,46.0,7.0,13.0,135.28789064583,14.0,0.20711546159667,0.0,,"{'original': 7, 'alternative': 6.9}",0,0.14,0.03,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.22222222222221,41.66666666666667,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,41.0,31.0,10.0,5.0,0.0,21.0,26.0,10.0,15.0,8.0,7.0,,,,,,90.0,54.0,7.7,10.0,151.83227778263,20.0,62.6630789773,0.0,,"{'original': 7.7, 'alternative': 7.9}",1,0.23,0.05,0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.60975609756098,50.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.32,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,37.0,27.0,10.0,4.0,1.0,13.0,16.0,14.0,21.0,2.0,6.0,,,,,,89.0,53.0,7.9,14.0,113.6117194283,14.0,-3.8527569546698,0.0,,"{'original': 7.9, 'alternative': 7.2}",0,0.84,0.09,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,72.97297297297297,40.0,,,,,,2.0,2.0,1.0,,,,2.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,24.0,13.0,6.0,4.0,0.0,5.0,7.0,8.0,17.0,3.0,2.0,,,,,,83.0,36.0,7.0,13.0,79.872413847063,10.0,34.949385002802,1.0,,"{'original': 7, 'alternative': 7.1}",1,0.18,0.22,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,54.166666666666664,66.66666666666666,,,,1.0,1.0,4.0,5.0,1.0,,1.0,1.0,4.0,3.0,,1.0,1.0,1.0,,,0.01,,,29.619846259684,29.9990999865,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,24.0,17.0,4.0,1.0,0.0,14.0,17.0,3.0,7.0,3.0,4.0,,,,,,90.0,37.0,6.4,10.0,128.3978276506,13.0,3.3884067800619,1.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.01,0.08,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,70.83333333333334,25.0,,,,,,4.0,3.0,1.0,1.0,,,1.0,,2.0,2.0,2.0,,,,,,,21.173739581017,21.948688366278,1.0,,,,,,,,
14015605,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,30,False,18.0,11.0,4.0,2.0,0.0,7.0,7.0,4.0,11.0,,7.0,,,,,,89.0,30.0,7.7,10.0,107.22391577292,6.0,74.417162835428,3.0,,"{'original': 7.7, 'alternative': 7.6}",1,-0.04,0.27,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,61.111111111111114,50.0,,,,3.0,1.0,4.0,5.0,1.0,,,,2.0,2.0,2.0,,3.0,1.0,1.0,,0.37,,,26.519973342134,84.301270690332,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,13.0,9.0,2.0,1.0,0.0,3.0,4.0,6.0,9.0,1.0,1.0,,,,,,67.0,23.0,6.4,7.0,50.86248152511,8.0,-30.735582142258,0.0,,"{'original': 6.4, 'alternative': 6.7}",1,0.03,-0.24,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,69.23076923076923,50.0,,,,3.0,2.0,4.0,3.0,,,,,,,1.0,1.0,1.0,,,,-0.3,,,,,,1.0,1.0,,,,,,
14015605,home,25736,FK Novi Pazar,798091,Driton Camaj,driton-camaj,M,10,False,20.0,14.0,2.0,2.0,0.0,4.0,4.0,10.0,16.0,,3.0,,,,,,90.0,46.0,7.4,15.0,223.95089478565,14.0,92.716302019134,5.0,,"{'original': 7.4, 'alternative': 7.6}",2,0.3,0.47,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,7,4,70.0,100.0,40.0,50.0,,,,4.0,7.0,2.0,,2.0,3.0,5.0,2.0,1.0,1.0,5.0,2.0,,,0.01,,1.0,43.363731563519,141.36018283509,,5.0,,2.0,1.0,,,,
