match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,totalOffside,blockedScoringAttempt,outfielderBlock,dispossessed,errorLeadToAGoal,challengeLost,fouls,shotOffTarget,totalKeeperSweeper,accurateKeeperSweeper,goals,bigChanceCreated
14015608,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,25.0,22.0,10.0,7.0,0.0,21.0,23.0,1.0,2.0,7.0,1.0,1.0,2.0,73.0,33.0,6.7,3.0,121.00061487666,13.0,48.073012679131,0.0,0.0198,"{'original': 6.7, 'alternative': 7}",0,0.04,0.0,-0.06,0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,36.0,24.0,4.0,,0.0,15.0,18.0,9.0,18.0,3.0,,,,90.0,64.0,6.7,19.0,174.45730317491,22.0,7.9497037261203,1.0,,"{'original': 6.7, 'alternative': 6.9}",1,0.21,0.03,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,4,0,66.66666666666666,,33.33333333333333,,,6.0,2.0,1.0,3.0,1.0,7.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,17.970055735948,22.462305224531,1.0,-0.09,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,56.0,44.0,7.0,3.0,0.0,24.0,25.0,20.0,31.0,3.0,,,,90.0,76.0,7.2,16.0,263.12821800725,31.0,151.23597858701,3.0,,"{'original': 7.2, 'alternative': 7.2}",1,0.11,0.09,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,6,2,78.57142857142857,42.857142857142854,,50.0,,,,,6.0,2.0,12.0,1.0,,2.0,3.0,3.0,1.0,1.0,19.129596557921,53.979199090995,,-0.24,4.0,2.0,1.0,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,80.0,69.0,11.0,5.0,0.0,57.0,60.0,12.0,20.0,6.0,,,,90.0,91.0,7.3,11.0,301.76247873553,41.0,72.030736657602,0.0,,"{'original': 7.3, 'alternative': 6.9}",1,0.18,0.14,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,3,0,86.25,45.45454545454545,,,,,,3.0,5.0,3.0,8.0,,3.0,1.0,2.0,1.0,,1.0,,,,-0.1,,,,1.0,1.0,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,False,45.0,35.0,5.0,1.0,0.0,20.0,25.0,15.0,20.0,2.0,,,,90.0,73.0,5.8,18.0,161.88096154661,23.0,29.434604854448,2.0,,"{'original': 5.8, 'alternative': 6}",0,0.15,0.02,-0.7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,77.77777777777779,20.0,,,,5.0,,1.0,2.0,2.0,4.0,,4.0,,1.0,1.0,1.0,1.0,24.498688331776,38.876407457265,,,,,,,,1.0,1.0,,,,,,,
14015608,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,33.0,26.0,1.0,,0.0,16.0,16.0,10.0,17.0,5.0,,,,64.0,42.0,6.5,9.0,137.33720239425,20.0,16.497276859412,0.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.03,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,78.78787878787878,,,,,,,,,1.0,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,,,,,,
14015608,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,33.0,25.0,7.0,3.0,0.0,12.0,12.0,13.0,21.0,4.0,,,,64.0,39.0,6.7,9.0,171.89371558723,17.0,41.817508290293,2.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.3,0.12,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,75.75757575757575,42.857142857142854,100.0,,,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,,23.017626688428,55.620351324553,,,,,,,,,,1.0,1.0,,,,,
14015608,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,49.0,35.0,2.0,,0.0,11.0,13.0,24.0,36.0,6.0,,,,90.0,69.0,6.4,19.0,217.15986170996,29.0,31.870077565994,1.0,,"{'original': 6.4, 'alternative': 7}",0,0.0,0.1,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,71.42857142857143,,,100.0,,,,1.0,1.0,5.0,8.0,,,2.0,1.0,1.0,2.0,4.0,29.902345236621,31.369550140224,1.0,,2.0,2.0,,,,3.0,,,1.0,,,,,
14015608,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,M,22,False,11.0,6.0,1.0,,0.0,1.0,1.0,5.0,10.0,,,,,63.0,22.0,6.0,10.0,68.942059308408,7.0,9.787977270591,1.0,,"{'original': 6, 'alternative': 6.5}",0,-0.22,-0.78,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,54.54545454545454,,,,,1.0,,1.0,2.0,3.0,2.0,,,1.0,,,2.0,,6.2176110755953,8.9391973353316,,,1.0,,,,,1.0,,,,,,,,
14015608,home,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,M,25,False,17.0,9.0,1.0,,0.0,3.0,4.0,6.0,13.0,2.0,,,,73.0,37.0,6.3,20.0,153.59156663169,14.0,79.296529567782,3.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.13,0.2,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,52.94117647058824,,33.33333333333333,,,9.0,3.0,1.0,1.0,3.0,3.0,,,,,,4.0,2.0,20.768007347649,72.483145542596,2.0,,1.0,,,,,,,,1.0,,,,,
