match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,interceptionWon,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,challengeLost,dispossessed,bigChanceMissed,shotOffTarget,unsuccessfulTouch,shotValueNormalized,bigChanceCreated,blockedScoringAttempt,outfielderBlock,wasFouled,onTargetScoringAttempt,totalOffside
14015609,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,23.0,15.0,14.0,6.0,0.0,14.0,17.0,1.0,6.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,90.0,32.0,6.8,8.0,43.312471291507,7.0,17.524618224792,0.0,0.0372,"{'original': 6.8, 'alternative': 7.1}",0,0.0,-0.01,0.16,0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,65.21739130434783,42.857142857142854,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,54.0,46.0,9.0,4.0,0.0,19.0,19.0,27.0,35.0,2.0,2.0,,,12.0,,,,,,90.0,67.0,6.9,10.0,124.22766802148,15.0,70.128827207297,1.0,,"{'original': 6.9, 'alternative': 7}",0,0.47,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,85.18518518518519,44.44444444444444,100.0,,,1.0,1.0,3.0,7.0,1.0,2.0,2.0,2.0,21.157572188265,24.17153077486,3.0,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,10.0,9.0,,,0.0,9.0,10.0,,,,,,1.0,,,,,,,12.0,11.0,6.7,1.0,26.331536046057,4.0,6.6356520856956,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,-0.02,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,74.0,66.0,6.0,3.0,0.0,40.0,43.0,26.0,31.0,5.0,,,6.0,5.0,,,,,,90.0,86.0,7.5,8.0,118.30556555265,19.0,44.303129663783,0.0,,"{'original': 7.5, 'alternative': 7.6}",0,0.19,0.07,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,89.1891891891892,50.0,,,,,,,2.0,1.0,2.0,1.0,2.0,,,,3.0,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,False,57.0,46.0,8.0,3.0,0.0,18.0,23.0,28.0,34.0,5.0,,,,6.0,,,,,,90.0,86.0,7.4,20.0,258.02722371702,31.0,100.84575856416,2.0,,"{'original': 7.4, 'alternative': 7.1}",2,0.29,0.29,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,80.7017543859649,37.5,20.0,,,5.0,1.0,,2.0,1.0,4.0,2.0,,46.537274786472,60.29441493643,1.0,1.0,1.0,1.0,1.0,2.0,3.0,-0.38,,,,,,
14015609,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,False,24.0,21.0,2.0,1.0,0.0,8.0,8.0,13.0,16.0,1.0,1.0,,,,,,,,,90.0,37.0,7.3,7.0,57.545612867843,9.0,9.1391214162397,1.0,,"{'original': 7.3, 'alternative': 7.6}",2,0.56,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,87.5,50.0,66.66666666666666,,,3.0,2.0,2.0,3.0,1.0,1.0,1.0,,11.084032268206,16.12408660979,4.0,,,,,1.0,2.0,-0.03,2.0,1.0,,,,
14015609,home,263360,FK TSC Bačka Topola,267591,Milan Radin,milan-radin,M,7,False,41.0,34.0,5.0,1.0,0.0,14.0,17.0,20.0,24.0,5.0,1.0,,1.0,3.0,,,,,,74.0,56.0,6.9,9.0,101.99467439622,15.0,1.6588268429966,0.0,,"{'original': 6.9, 'alternative': 6.9}",1,0.34,0.11,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,5,6,82.92682926829268,20.0,,,,,,,6.0,2.0,3.0,2.0,3.0,,,1.0,,1.0,1.0,,1.0,,-0.18,,,1.0,2.0,,
14015609,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,19.0,16.0,2.0,1.0,0.0,6.0,7.0,10.0,12.0,2.0,1.0,,,3.0,,,,,,74.0,30.0,6.9,9.0,166.14980565626,16.0,41.535994042387,4.0,,"{'original': 6.9, 'alternative': 6.7}",1,0.07,0.15,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,84.21052631578947,50.0,,,,2.0,,,1.0,,1.0,1.0,,16.194252010996,61.596107368293,1.0,,,,,,2.0,-0.02,,1.0,,1.0,,
14015609,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,False,18.0,12.0,,,0.0,4.0,5.0,8.0,13.0,2.0,,,,5.0,,,,,,63.0,32.0,7.0,9.0,54.177241468578,9.0,-5.5484315666261,0.0,,"{'original': 7, 'alternative': 7.1}",3,-0.13,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,66.66666666666666,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,0.29,,,,1.0,3.0,
14015609,home,263360,FK TSC Bačka Topola,965889,Radivoj Bosić,radivoj-bosic,M,12,False,15.0,6.0,,,0.0,1.0,3.0,5.0,12.0,5.0,3.0,2.0,,5.0,,,,,,63.0,33.0,6.6,15.0,145.83458288824,11.0,85.743537846119,3.0,,"{'original': 6.6, 'alternative': 7.2}",4,0.02,0.29,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,40.0,,33.33333333333333,66.66666666666666,,3.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,21.635085319728,66.641794781447,,,1.0,2.0,,2.0,1.0,-0.3,,,,,2.0,1.0
