player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Egor Prutsev', 'firstName': 'Egor Prutsev', 'lastName': '', 'slug': 'egor-prutsev', 'shortName': 'E. Prutsev', 'position': 'M', 'jerseyNumber': '11', 'userCount': 687, 'gender': 'M', 'id': 1068813, 'fieldTranslations': {'nameTranslation': {'ar': 'ييجور برتسيف'}, 'shortNameTranslation': {'ar': 'ي. برتسيف'}}}",True,miss,fast-break,"{'x': 9.4, 'y': 33.8, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 40.8, 'z': 2.8}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859685,85,5062,"{'start': {'x': 33.8, 'y': 9.4}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 97.2}}",6,338,2362,shot,
"{'name': 'Jovan Šljivić', 'slug': 'jovan-sljivic', 'shortName': 'J. Šljivić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 666, 'gender': 'M', 'id': 1153956, 'fieldTranslations': {'nameTranslation': {'ar': 'بيليتيتش إ / ميلوفانوف ت'}, 'shortNameTranslation': {'ar': 'ب. ت'}}}",True,save,assisted,"{'x': 21.3, 'y': 19.9, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.3, 'z': 23.4}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859640,84,5026,"{'start': {'x': 19.9, 'y': 21.3}, 'block': {'x': 47.3, 'y': 0.90000000000001}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 76.6}}",7,374,2326,shot,"{'x': 0.90000000000001, 'y': 47.3, 'z': 0}"
"{'name': 'Filip Halabrin', 'slug': 'filip-halabrin', 'shortName': 'F. Halabrin', 'position': 'M', 'jerseyNumber': '88', 'userCount': 39, 'gender': 'M', 'id': 1579193, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب هالابرين'}, 'shortNameTranslation': {'ar': 'ف. هالابرين'}}}",True,block,assisted,"{'x': 8.5, 'y': 28.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.2, 'z': 19}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859637,82,4890,"{'start': {'x': 28.2, 'y': 8.5}, 'block': {'x': 31.4, 'y': 7.3}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 81}}",9,510,2190,shot,"{'x': 7.3, 'y': 31.4, 'z': 0}"
"{'name': 'Miloš Pantović', 'slug': 'milos-pantovic', 'shortName': 'M. Pantović', 'position': 'M', 'jerseyNumber': '27', 'userCount': 80, 'gender': 'M', 'id': 352610, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش بانتوفيتش', 'bn': 'মিলোস প্যান্টোভিচ', 'hi': 'मिलोस पेंटोविक'}, 'shortNameTranslation': {'ar': 'م. بانتوفيتش', 'bn': 'এম. প্যান্টোভিচ', 'hi': 'एम. पेंटोविक'}}}",True,miss,assisted,"{'x': 25.1, 'y': 34.2, 'z': 0}",right-foot,left,"{'x': 0, 'y': 62.5, 'z': 2.8}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859594,64,3784,"{'start': {'x': 34.2, 'y': 25.1}, 'block': {'x': 35.9, 'y': 16}, 'end': {'x': 37.5, 'y': 0}, 'goal': {'x': 37.5, 'y': 97.2}}",27,1616,1084,shot,"{'x': 16, 'y': 35.9, 'z': 0}"
"{'name': 'Yacouba Silue', 'firstName': '', 'lastName': '', 'slug': 'yacouba-silue', 'shortName': 'Y. Silue', 'position': 'F', 'jerseyNumber': '42', 'userCount': 72, 'gender': 'M', 'id': 1120865, 'fieldTranslations': {'nameTranslation': {'ar': 'ياكوبا سيلوي'}, 'shortNameTranslation': {'ar': 'ي. سيلوي'}}}",True,miss,assisted,"{'x': 18.2, 'y': 43.9, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 44.5, 'z': 47.2}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859542,62,3705,"{'start': {'x': 43.9, 'y': 18.2}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 52.8}}",29,1695,1005,shot,
"{'name': 'Miloš Pantović', 'slug': 'milos-pantovic', 'shortName': 'M. Pantović', 'position': 'M', 'jerseyNumber': '27', 'userCount': 80, 'gender': 'M', 'id': 352610, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش بانتوفيتش', 'bn': 'মিলোস প্যান্টোভিচ', 'hi': 'मिलोस पेंटोविक'}, 'shortNameTranslation': {'ar': 'م. بانتوفيتش', 'bn': 'এম. প্যান্টোভিচ', 'hi': 'एम. पेंटोविक'}}}",True,miss,regular,"{'x': 21.6, 'y': 41.7, 'z': 0}",left-foot,high,"{'x': 0, 'y': 54.3, 'z': 81.9}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859540,62,3664,"{'start': {'x': 41.7, 'y': 21.6}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 18.1}}",29,1736,964,shot,
"{'name': 'Yacouba Silue', 'firstName': '', 'lastName': '', 'slug': 'yacouba-silue', 'shortName': 'Y. Silue', 'position': 'F', 'jerseyNumber': '42', 'userCount': 72, 'gender': 'M', 'id': 1120865, 'fieldTranslations': {'nameTranslation': {'ar': 'ياكوبا سيلوي'}, 'shortNameTranslation': {'ar': 'ي. سيلوي'}}}",True,block,assisted,"{'x': 17.8, 'y': 44.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.1, 'z': 19}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859503,53,3137,"{'start': {'x': 44.8, 'y': 17.8}, 'block': {'x': 46.4, 'y': 11.4}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 81}}",38,2263,437,shot,"{'x': 11.4, 'y': 46.4, 'z': 0}"
"{'name': 'Yacouba Silue', 'firstName': '', 'lastName': '', 'slug': 'yacouba-silue', 'shortName': 'Y. Silue', 'position': 'F', 'jerseyNumber': '42', 'userCount': 72, 'gender': 'M', 'id': 1120865, 'fieldTranslations': {'nameTranslation': {'ar': 'ياكوبا سيلوي'}, 'shortNameTranslation': {'ar': 'ي. سيلوي'}}}",True,save,assisted,"{'x': 22.8, 'y': 61.7, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 5.1}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859499,50,2980,"{'start': {'x': 61.7, 'y': 22.8}, 'block': {'x': 52.2, 'y': 2}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 94.9}}",41,2420,280,shot,"{'x': 2, 'y': 52.2, 'z': 0}"
"{'name': 'Ethan Hoard', 'firstName': 'Ethan Hoard', 'slug': 'ethan-hoard', 'shortName': 'E. Hoard', 'position': 'F', 'jerseyNumber': '9', 'userCount': 86, 'gender': 'M', 'id': 1818867, 'fieldTranslations': {'nameTranslation': {'ar': 'إيثان هورد'}, 'shortNameTranslation': {'ar': 'إ. هورد'}}}",True,block,set-piece,"{'x': 11.1, 'y': 47.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.1, 'z': 19}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859502,48,2832,"{'start': {'x': 47.2, 'y': 11.1}, 'block': {'x': 47.8, 'y': 8.5}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 81}}",43,2568,132,shot,"{'x': 8.5, 'y': 47.8, 'z': 0}"
"{'name': 'Yacouba Silue', 'firstName': '', 'lastName': '', 'slug': 'yacouba-silue', 'shortName': 'Y. Silue', 'position': 'F', 'jerseyNumber': '42', 'userCount': 72, 'gender': 'M', 'id': 1120865, 'fieldTranslations': {'nameTranslation': {'ar': 'ياكوبا سيلوي'}, 'shortNameTranslation': {'ar': 'ي. سيلوي'}}}",True,miss,assisted,"{'x': 9.2, 'y': 31.7, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.3, 'z': 9.7}","{'name': 'Luka Lijeskić', 'firstName': 'Luka Lijeskic', 'lastName': '', 'slug': 'luka-lijeskic', 'shortName': 'L. Lijeskić', 'position': 'G', 'jerseyNumber': '81', 'userCount': 205, 'gender': 'M', 'id': 1152919, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لييسكيك'}, 'shortNameTranslation': {'ar': 'ل. لييسكيك'}}}",6859495,46,2726,"{'start': {'x': 31.7, 'y': 9.2}, 'end': {'x': 42.7, 'y': 0}, 'goal': {'x': 42.7, 'y': 90.3}}",45,2674,26,shot,
