match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,fouls,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,dribbleValueNormalized,aerialLost,clearanceOffLine,outfielderBlock,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalCross,accurateCross,challengeLost,totalOffside,onTargetScoringAttempt,shotValueNormalized,bigChanceCreated,bigChanceMissed,shotOffTarget,hitWoodwork,penaltyMiss,blockedScoringAttempt,penaltyWon,goals
14015613,home,36967,FK Spartak Subotica,1893331,Dimitrije Minić,dimitrije-minic,G,23,False,29.0,10.0,26.0,8.0,0.0,5.0,9.0,5.0,20.0,1.0,1.0,2.0,9.0,1.0,4.0,1.0,1.0,5.0,1.0,90.0,38.0,7.6,19.0,0.6757,"{'original': 7.6, 'alternative': 7.8}",0,0.02,-0.05,0.52,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,34.48275862068966,30.76923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,27.0,20.0,3.0,2.0,0.0,13.0,16.0,7.0,11.0,,3.0,4.0,4.0,,,,,,,90.0,39.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.0,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,74.07407407407408,66.66666666666666,,100.0,,3.0,1.0,2.0,2.0,1.0,1.0,2.0,44.776577518065,9.0,18.012102590085,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,24.0,17.0,7.0,5.0,0.0,13.0,14.0,4.0,10.0,5.0,6.0,15.0,3.0,,,,,,,83.0,45.0,7.0,9.0,,"{'original': 7, 'alternative': 7.3}",0,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,70.83333333333334,71.42857142857143,,,,4.0,,,,2.0,1.0,3.0,37.449456235691,6.0,-2.3218735309963,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,24.0,21.0,4.0,3.0,0.0,12.0,14.0,9.0,10.0,,3.0,7.0,2.0,,,,,,,90.0,41.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.27,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,87.5,75.0,,,,5.0,2.0,1.0,,,1.0,2.0,86.092576382335,10.0,21.622369369139,1.0,0.08,,,,1.0,,,2.0,15.125292992865,17.886323294629,1.0,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,False,27.0,14.0,8.0,1.0,0.0,5.0,8.0,9.0,19.0,3.0,5.0,2.0,4.0,,,,,,,90.0,63.0,6.4,28.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.12,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,51.85185185185185,12.5,,,,6.0,2.0,1.0,,1.0,2.0,2.0,77.01287587273,12.0,38.001097668946,1.0,0.11,2.0,,1.0,2.0,2.0,,,24.49215782601,30.016542105979,,2.0,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,315190,Filip Holender,filip-holender,M,7,False,17.0,10.0,2.0,,0.0,5.0,6.0,5.0,11.0,,4.0,2.0,2.0,,,,,,,90.0,36.0,6.6,11.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.22,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,4,0,58.82352941176471,,,,,3.0,,,,1.0,3.0,,112.69662179975,14.0,55.680042841055,2.0,0.51,3.0,,,,2.0,,1.0,19.529329144088,42.686410786756,,1.0,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,False,17.0,13.0,3.0,1.0,0.0,7.0,9.0,6.0,8.0,1.0,4.0,,4.0,,,,,,,69.0,22.0,6.8,5.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.08,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,76.47058823529412,33.33333333333333,,,,2.0,,,,1.0,1.0,2.0,41.919147721745,7.0,17.855784936354,0.0,0.04,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,M,16,False,28.0,18.0,1.0,,0.0,11.0,16.0,7.0,12.0,3.0,7.0,,6.0,,,,,,,90.0,42.0,6.5,15.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,9,7,4,3,64.28571428571429,,,,,9.0,2.0,1.0,,,3.0,,94.117370185814,11.0,35.004388592699,0.0,0.07,6.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,24.0,15.0,2.0,1.0,0.0,4.0,4.0,11.0,20.0,,1.0,1.0,3.0,,,,,,,90.0,33.0,6.2,14.0,,"{'original': 6.2, 'alternative': 6.2}",0,0.1,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,62.5,50.0,100.0,,,5.0,,2.0,,,,,105.93436066446,13.0,27.24186992353,1.0,0.06,2.0,,,,2.0,,1.0,7.9220919009046,10.605903261863,,1.0,1.0,1.0,1.0,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,890060,Ezequiel,ezequiel,F,10,False,9.0,4.0,2.0,,0.0,,1.0,4.0,8.0,1.0,1.0,,,,,,,,,69.0,19.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.3}",0,-0.1,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,44.44444444444444,,,,,2.0,,1.0,,,,,51.909271326532,6.0,28.970445403516,1.0,0.08,1.0,,,,4.0,,,20.676444753172,20.977576623624,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,F,20,False,10.0,4.0,,,0.0,2.0,5.0,2.0,5.0,,4.0,1.0,5.0,,,,,,,85.0,31.0,6.4,19.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,40.0,,,20.0,,5.0,,5.0,1.0,,,,156.32402514455,11.0,68.842235108414,3.0,0.39,1.0,,,,9.0,,3.0,34.680728844959,74.22191727157,,,,,2.0,1.0,-0.42,,,,,,,,
14015613,home,271341,FK Spartak Subotica,2476341,Daniel Friday,daniel-friday,F,29,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,,,,21.0,6.0,6.2,4.0,,"{'original': 6.2, 'alternative': 6.3}",0,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,100.0,,,,,4.0,,,,,,1.0,3.8600746106779,1.0,0.92895359594964,0.0,0.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1063790,Brian Ramírez,brian-ramirez,M,99,True,7.0,3.0,2.0,,0.0,,2.0,3.0,5.0,,2.0,1.0,1.0,,,,,,,21.0,14.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,42.857142857142854,,,,,1.0,,,,1.0,1.0,1.0,31.414465364289,4.0,4.6115107611912,1.0,0.02,,,,1.0,2.0,,1.0,11.683871934311,14.884123219055,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,True,2.0,2.0,,,0.0,,,2.0,2.0,,,1.0,,,,,,,,10.0,3.0,6.5,,,"{'original': 6.5, 'alternative': 6.4}",0,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,10.502118833835,1.0,3.9904145640054,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1515520,Nikola Grujić,nikola-grujic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,F,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,home,36967,FK Spartak Subotica,1518929,Nikola Tasić,nikola-tasic,M,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,795899,Ognjen Čančarević,ognjen-cancarevic,G,55,False,42.0,27.0,26.0,12.0,0.0,23.0,26.0,4.0,16.0,,,,5.0,,1.0,,,1.0,,90.0,47.0,7.0,15.0,0.1392,"{'original': 7, 'alternative': 6.9}",0,0.13,-0.01,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,64.28571428571429,46.15384615384615,,,,,,,,,,,117.41075697691,14.0,90.319379703888,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,54.0,44.0,7.0,3.0,0.0,23.0,23.0,21.0,31.0,,2.0,1.0,10.0,,,,,,,90.0,93.0,7.3,27.0,,"{'original': 7.3, 'alternative': 7.3}",1,0.18,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,81.48148148148148,42.857142857142854,20.0,,,2.0,1.0,1.0,,,1.0,,306.45566656173,29.0,190.48968844469,7.0,0.29,,,,1.0,2.0,,1.0,31.838450538154,161.58300238725,,10.0,2.0,,,1.0,-0.21,,,,,,,,
14015613,away,308176,FK IMT Beograd,791176,Vukašin Jovanović,vukasin-jovanovic,D,6,False,61.0,54.0,8.0,5.0,0.0,46.0,48.0,8.0,13.0,2.0,4.0,8.0,6.0,,,,,,,90.0,75.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7.2}",0,0.13,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,88.52459016393442,62.5,,,,3.0,,,,2.0,2.0,3.0,183.94059454713,25.0,32.334846311938,0.0,0.05,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,836919,Stefan Šapić,stefan-sapic,D,65,False,58.0,49.0,4.0,1.0,0.0,44.0,48.0,5.0,10.0,4.0,6.0,5.0,2.0,,,,,,,90.0,69.0,7.2,9.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,2,0,84.48275862068965,25.0,,,,1.0,,,,,2.0,,132.60999606688,20.0,9.633467787822,0.0,0.04,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,915043,Iván Martos,ivan-martos,D,3,False,42.0,32.0,8.0,2.0,0.0,17.0,18.0,15.0,24.0,1.0,1.0,,3.0,,,,,,,89.0,60.0,6.7,15.0,,"{'original': 6.7, 'alternative': 7.1}",2,0.26,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,76.19047619047619,25.0,50.0,,,3.0,,,,1.0,,2.0,102.21891954688,15.0,43.591260652148,2.0,0.07,1.0,,,,3.0,,,21.0753078083,35.368519620089,2.0,2.0,1.0,,,1.0,-0.48,1.0,1.0,1.0,,,,,
14015613,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,31.0,18.0,9.0,3.0,0.0,11.0,13.0,7.0,18.0,1.0,3.0,,3.0,,,,,,,90.0,49.0,6.1,21.0,,"{'original': 6.1, 'alternative': 6.4}",3,0.21,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,58.06451612903226,33.33333333333333,28.57142857142857,,,2.0,1.0,,,1.0,1.0,1.0,35.999692813313,7.0,5.6068893577841,0.0,0.03,,,,1.0,2.0,,1.0,,,1.0,7.0,2.0,,,1.0,-0.91,,1.0,2.0,1.0,1.0,,,
