match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,outfielderBlock,fouls,totalContest,blockedScoringAttempt,shotValueNormalized,unsuccessfulTouch,wonContest,dispossessed,shotOffTarget,bigChanceCreated,onTargetScoringAttempt,goals,totalOffside,bigChanceMissed,penaltyMiss,penaltyWon,goodHighClaim,penaltySave,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
14015617,home,308176,FK IMT Beograd,795899,Ognjen Čančarević,ognjen-cancarevic,G,55,False,29.0,14.0,24.0,10.0,0.0,10.0,13.0,4.0,16.0,1.0,7.0,1.0,4.0,1.0,90.0,36.0,6.3,16.0,26.164038344277,5.0,11.229377314145,0.0,0.1432,"{'original': 6.3, 'alternative': 6.7}",0,0.01,-0.14,-0.15,-0.58,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,48.275862068965516,41.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,29.0,23.0,6.0,4.0,0.0,8.0,10.0,15.0,19.0,1.0,5.0,,,,90.0,64.0,7.3,15.0,124.04056569584,12.0,54.702405798869,2.0,,"{'original': 7.3, 'alternative': 7.2}",0,0.38,0.17,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,5,1,79.3103448275862,66.66666666666666,33.33333333333333,,,3.0,1.0,2.0,3.0,5.0,1.0,2.0,4.0,3.0,1.0,22.217043673694,47.599978435262,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015617,home,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,False,18.0,14.0,5.0,4.0,0.0,9.0,11.0,5.0,7.0,5.0,1.0,,,,90.0,26.0,6.4,4.0,28.254419547913,4.0,13.221133629191,0.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.08,0.02,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,77.77777777777779,80.0,,,,,,2.0,3.0,2.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,836919,Stefan Šapić,stefan-sapic,D,65,False,16.0,10.0,2.0,,0.0,8.0,10.0,2.0,6.0,3.0,3.0,,,,80.0,27.0,6.4,8.0,38.125323345989,6.0,-13.389789892541,0.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.18,-0.02,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,62.5,,,,,,,,2.0,5.0,,1.0,2.0,1.0,,,,,3.0,,,2.0,1.0,0.0,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,915043,Iván Martos,ivan-martos,D,3,False,22.0,13.0,9.0,4.0,0.0,9.0,10.0,4.0,12.0,2.0,3.0,,,,90.0,42.0,6.4,12.0,88.909108573074,12.0,-0.26757363776847,0.0,,"{'original': 6.4, 'alternative': 6.9}",0,0.12,0.03,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,4,0,59.09090909090909,44.44444444444444,,,,2.0,,1.0,1.0,4.0,,4.0,4.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,19.0,12.0,,,0.0,6.0,8.0,6.0,11.0,,3.0,,,,59.0,33.0,6.4,14.0,124.01493489013,13.0,25.395764960877,2.0,,"{'original': 6.4, 'alternative': 6.3}",1,-0.05,0.19,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,6,3,63.1578947368421,,,100.0,,4.0,,3.0,6.0,6.0,1.0,,4.0,,,21.139193655248,46.9296534218,,,,2.0,2.0,1.0,0.0,3.0,2.0,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,26.0,20.0,4.0,2.0,0.0,10.0,12.0,10.0,14.0,7.0,7.0,,,,90.0,40.0,7.1,7.0,112.24938032003,14.0,-25.430423028425,0.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.11,0.09,0.82,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,76.92307692307693,50.0,,,,,,2.0,3.0,3.0,,2.0,1.0,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1897363,Josué Tiendrebeogo,josue-tiendrebeogo,M,18,False,20.0,14.0,8.0,3.0,0.0,6.0,8.0,8.0,12.0,1.0,3.0,,,,90.0,33.0,6.5,10.0,52.859111158834,7.0,13.181930316395,0.0,,"{'original': 6.5, 'alternative': 6.7}",2,0.0,0.07,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,70.0,37.5,50.0,,,4.0,2.0,,3.0,3.0,1.0,,2.0,1.0,1.0,,,1.0,,,3.0,,,-0.23,2.0,,,2.0,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1588141,Rafael Batista da Silva Junior,rafael-batista-da-silva-junior,M,11,False,2.0,,,,0.0,,,,2.0,1.0,,,,,59.0,8.0,6.0,5.0,34.847854909011,4.0,1.3398573766281,0.0,,"{'original': 6, 'alternative': 6.3}",0,-0.13,0.27,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,,,,,,,,1.0,4.0,,,,,,,,,1.0,,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1917883,Oriyomi Lebi,oriyomi-lebi,F,19,False,16.0,8.0,1.0,,1.0,5.0,5.0,3.0,11.0,1.0,4.0,,,,90.0,32.0,6.2,16.0,79.877219747407,15.0,27.049605163298,0.0,,"{'original': 6.2, 'alternative': 6.8}",1,0.31,0.28,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,11,3,1,2,50.0,,100.0,,,1.0,1.0,9.0,11.0,3.0,,,,,1.0,,,1.0,2.0,,,,1.0,-0.09,6.0,,2.0,,1.0,,,,,,,,,,,,
