match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,challengeLost,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalTackle,wonTackle,errorLeadToAShot,keyPass,interceptionWon,accurateCross,bigChanceMissed,shotOffTarget,shotValueNormalized,bigChanceCreated,onTargetScoringAttempt,goals,dispossessed,totalContest,wonContest,penaltyWon,blockedScoringAttempt,penaltyFaced,punches,outfielderBlock,penaltyConceded,ownGoals,totalOffside,errorLeadToAGoal
14015621,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,19.0,17.0,4.0,2.0,0.0,16.0,16.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,90.0,27.0,7.5,2.0,49.0608132944,8.0,13.324040607262,0.0,0.3594,"{'original': 7.5, 'alternative': 7.2}",0,0.04,0.0,0.19,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,89.47368421052632,50.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,39.0,39.0,,,0.0,20.0,20.0,19.0,19.0,3.0,,5.0,1.0,,3.0,,,,,,80.0,50.0,6.6,5.0,108.23831766561,18.0,35.41018905098,1.0,,"{'original': 6.6, 'alternative': 6.8}",0,-0.04,0.02,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,100.0,,,,,1.0,1.0,2.0,1.0,1.0,11.377004154505,11.382193505647,,,,,,,,,,,,,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,138.0,122.0,15.0,6.0,0.0,56.0,56.0,66.0,82.0,,8.0,3.0,10.0,2.0,4.0,,,,,,90.0,146.0,8.3,17.0,394.52371201811,53.0,174.85837826442,0.0,,"{'original': 8.3, 'alternative': 7.5}",0,0.77,0.15,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,2,3,88.40579710144928,40.0,,,,,,1.0,,3.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,False,145.0,137.0,4.0,,0.0,89.0,91.0,48.0,54.0,,2.0,1.0,6.0,3.0,5.0,,,,,,90.0,154.0,7.6,9.0,267.7524589433,38.0,123.60733251627,2.0,,"{'original': 7.6, 'alternative': 7.4}",0,0.32,0.19,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,94.48275862068965,,,,,,,1.0,1.0,1.0,17.367437804759,37.214105174735,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,80.0,74.0,2.0,1.0,0.0,40.0,41.0,34.0,39.0,1.0,2.0,1.0,2.0,,3.0,,,,,,90.0,97.0,7.2,10.0,288.86961340054,29.0,134.58220775703,2.0,,"{'original': 7.2, 'alternative': 7.6}",1,0.24,0.27,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,92.5,50.0,25.0,,,4.0,,,,,44.307811654003,73.553914617509,,,,2.0,1.0,1.0,1.0,1.0,-0.59,,,,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,74.0,71.0,1.0,1.0,1.0,37.0,37.0,34.0,37.0,,1.0,,4.0,1.0,7.0,,,,,,90.0,83.0,8.4,3.0,132.91853884456,16.0,20.137896964917,0.0,,"{'original': 8.4, 'alternative': 8.9}",2,0.65,0.14,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,95.94594594594594,100.0,,,,,,,2.0,,,,1.0,1.0,,2.0,2.0,,,1.0,0.3,1.0,1.0,1.0,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,17.0,14.0,,,0.0,2.0,2.0,12.0,15.0,2.0,,5.0,2.0,,3.0,,,,,,75.0,31.0,6.6,8.0,185.76196954703,16.0,127.24907805301,4.0,,"{'original': 6.6, 'alternative': 6.9}",2,0.07,0.35,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,82.35294117647058,,75.0,,,4.0,,1.0,,,48.28837284727,90.492862191772,2.0,1.0,,,,3.0,,1.0,-0.44,,1.0,,2.0,1.0,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,62.0,54.0,5.0,3.0,1.0,20.0,23.0,34.0,39.0,,,4.0,4.0,,3.0,,,,,,75.0,72.0,8.3,11.0,113.91559483517,17.0,12.778032678329,0.0,,"{'original': 8.3, 'alternative': 7.9}",0,0.83,-0.21,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,87.09677419354838,60.0,50.0,,,4.0,2.0,1.0,1.0,2.0,,,3.0,,,4.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,25.0,24.0,,,0.0,10.0,10.0,14.0,15.0,2.0,,4.0,2.0,,,,,,,,65.0,32.0,7.9,2.0,53.529194258162,7.0,13.022359883691,1.0,,"{'original': 7.9, 'alternative': 7.6}",1,-0.14,0.35,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,96.0,,,100.0,,,,,1.0,1.0,10.36154826879,10.387291514153,,,,,,,,,0.47,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14015621,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,38.0,34.0,3.0,3.0,0.0,11.0,11.0,23.0,27.0,2.0,1.0,6.0,6.0,,2.0,,,,,,90.0,64.0,7.2,19.0,309.12680992612,24.0,185.9322755002,7.0,,"{'original': 7.2, 'alternative': 7.3}",4,0.22,0.46,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,5,4,89.47368421052632,100.0,11.11111111111111,100.0,,9.0,,3.0,2.0,,16.031747443181,144.78328804341,2.0,,,1.0,,1.0,,1.0,-0.24,,1.0,,4.0,1.0,1.0,,2.0,,,,,,,
