match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,onTargetScoringAttempt,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,outfielderBlock,wonTackle,fouls,interceptionWon,totalCross,accurateCross,dispossessed,blockedScoringAttempt,unsuccessfulTouch,shotOffTarget,bigChanceCreated,challengeLost,goals,errorLeadToAShot,punches,totalOffside
14015622,home,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,30.0,18.0,16.0,4.0,0.0,14.0,15.0,4.0,15.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,46.0,7.3,12.0,27.193187764476,4.0,1.6973366675213,0.0,0.4006,"{'original': 7.3, 'alternative': 7.1}",0,0.05,0.0,-0.01,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,60.0,25.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,False,24.0,15.0,3.0,,0.0,5.0,7.0,10.0,17.0,3.0,6.0,3.0,2.0,1.0,,,,,,89.0,42.0,6.7,12.0,45.039740410593,3.0,19.99071025001,1.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.14,0.28,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,3,0,62.5,,,,,3.0,3.0,1.0,2.0,27.752613405711,28.359555867467,1.0,-0.34,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,47.0,35.0,13.0,4.0,0.0,25.0,29.0,10.0,18.0,4.0,10.0,4.0,3.0,3.0,,,,,,90.0,65.0,7.0,14.0,111.15585168742,18.0,8.3275845730023,0.0,,"{'original': 7, 'alternative': 7.2}",0,0.14,0.09,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,6,3,74.46808510638297,30.76923076923077,,100.0,,2.0,5.0,,2.0,,,,,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,52.0,46.0,5.0,1.0,0.0,36.0,39.0,10.0,13.0,3.0,8.0,9.0,5.0,3.0,,,,,,90.0,71.0,7.5,6.0,95.715951425289,11.0,57.338161535846,1.0,,"{'original': 7.5, 'alternative': 7.3}",0,0.42,0.07,0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,5,4,88.46153846153845,20.0,,100.0,,4.0,8.0,,1.0,21.923816569884,24.167035482243,,,1.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,53.0,43.0,6.0,1.0,0.0,18.0,26.0,25.0,27.0,4.0,6.0,5.0,6.0,1.0,,,,,,90.0,81.0,6.9,19.0,262.2558926619,28.0,130.85242563298,4.0,,"{'original': 6.9, 'alternative': 7.1}",1,0.2,0.3,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,81.13207547169812,16.666666666666664,16.666666666666664,100.0,,1.0,4.0,,,28.300701984946,87.519067967448,,-0.08,1.0,1.0,2.0,,2.0,,6.0,1.0,1.0,1.0,3.0,,,,,,,
14015622,home,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,15.0,13.0,1.0,1.0,0.0,5.0,5.0,8.0,10.0,1.0,3.0,1.0,2.0,1.0,,,,,,61.0,24.0,6.6,4.0,55.688900998984,8.0,10.960253735367,1.0,,"{'original': 6.6, 'alternative': 6.7}",1,-0.02,0.24,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,86.66666666666667,100.0,,100.0,,2.0,2.0,,,10.56765205698,11.68073803319,,-0.11,1.0,1.0,,,,2.0,1.0,,,,1.0,1.0,,,,,,
14015622,home,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,20.0,17.0,2.0,1.0,0.0,10.0,11.0,7.0,9.0,2.0,2.0,,3.0,,,,,,,85.0,28.0,6.3,6.0,45.764871311722,7.0,7.8788948949926,0.0,,"{'original': 6.3, 'alternative': 6.7}",1,-0.05,0.13,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,85.0,50.0,,,,1.0,4.0,,,,,1.0,-0.15,,,,,3.0,1.0,1.0,,,,2.0,1.0,,,,,,
14015622,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,30,False,24.0,20.0,,,1.0,4.0,4.0,16.0,20.0,,3.0,1.0,4.0,1.0,,,,,,90.0,39.0,6.8,10.0,96.106920732605,15.0,57.658411499862,1.0,,"{'original': 6.8, 'alternative': 7.4}",1,0.38,0.17,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,83.33333333333334,,,,,2.0,6.0,1.0,2.0,11.758763622728,13.682719064572,3.0,-0.05,2.0,,,2.0,,,1.0,,2.0,,1.0,,1.0,,,,,
14015622,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,20.0,18.0,,,0.0,2.0,2.0,16.0,18.0,1.0,3.0,,2.0,,,,,,,61.0,25.0,7.1,2.0,36.421583183643,4.0,16.315027670075,1.0,,"{'original': 7.1, 'alternative': 7}",2,0.15,0.21,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,90.0,,,,,1.0,2.0,1.0,2.0,18.078707010622,19.987513001872,1.0,-0.21,,,,,,,,,,,,1.0,,1.0,,,,
14015622,home,25736,FK Novi Pazar,798091,Driton Camaj,driton-camaj,M,10,False,26.0,20.0,4.0,2.0,0.0,4.0,5.0,16.0,21.0,,3.0,,3.0,3.0,,,,,,90.0,38.0,6.1,14.0,133.96710848296,16.0,22.357084595764,1.0,,"{'original': 6.1, 'alternative': 6.6}",1,-0.13,-0.56,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,76.92307692307693,50.0,,,,1.0,5.0,,,10.024804332,14.59181034005,,-0.51,2.0,,,,,,5.0,,,,1.0,1.0,,2.0,,,,
