match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,accurateCross,wonTackle,dispossessed,wonContest,shotOffTarget,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015626,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,29.0,19.0,13.0,3.0,0.0,17.0,17.0,2.0,12.0,1.0,8.0,1.0,2.0,3.0,1.0,90.0,37.0,7.4,11.0,45.216960304549,7.0,23.821959346654,0.0,0.8572,"{'original': 7.4, 'alternative': 7}",0,0.0,0.0,-0.01,0.63,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,65.51724137931035,23.076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,26.0,21.0,2.0,,0.0,8.0,10.0,13.0,16.0,2.0,5.0,1.0,,,,90.0,51.0,7.1,12.0,79.41643028151,12.0,55.720533999514,1.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.37,0.11,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,80.76923076923077,,,,,3.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,18.454590098303,18.802902993953,2.0,0.17,,,,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,48.0,43.0,5.0,2.0,0.0,26.0,28.0,17.0,20.0,7.0,1.0,2.0,,,,90.0,62.0,7.1,7.0,184.20660127182,22.0,73.137124281141,0.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.27,0.08,0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,89.58333333333334,40.0,,,,,4.0,,8.0,3.0,,,1.0,1.0,3.0,,,,,1.0,1.0,2.0,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,58.0,50.0,8.0,2.0,0.0,40.0,41.0,10.0,17.0,7.0,1.0,,,,,90.0,70.0,7.1,11.0,108.37404260978,13.0,64.907186113018,1.0,,"{'original': 7.1, 'alternative': 7.1}",0,0.1,0.03,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,86.20689655172413,25.0,,,,1.0,1.0,2.0,1.0,3.0,,,1.0,,,20.269007309704,20.393067057213,1.0,,,,1.0,,,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,False,46.0,30.0,7.0,3.0,0.0,18.0,24.0,12.0,22.0,2.0,3.0,1.0,,,,90.0,78.0,7.2,22.0,88.585050759448,12.0,3.1298429966352,1.0,,"{'original': 7.2, 'alternative': 7.4}",1,0.09,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,4,1,65.21739130434783,42.857142857142854,50.0,,,2.0,,3.0,1.0,7.0,1.0,1.0,2.0,,,14.699625139549,16.498278213195,2.0,-0.1,,,4.0,1.0,1.0,,,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,267591,Milan Radin,milan-radin,M,7,False,44.0,38.0,5.0,3.0,0.0,24.0,27.0,14.0,17.0,1.0,5.0,2.0,,,,90.0,62.0,7.7,10.0,99.561575410192,12.0,46.820276970732,1.0,,"{'original': 7.7, 'alternative': 7.3}",0,0.25,0.09,0.59,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,7,3,86.36363636363636,60.0,,50.0,,,2.0,2.0,5.0,9.0,2.0,,,3.0,1.0,16.936660949726,18.06320015944,,,,1.0,3.0,,3.0,1.0,1.0,,,,,,,
14015626,home,263360,FK TSC Bačka Topola,1406133,Andrej Petrović,andrej-petrovic,M,80,False,17.0,15.0,1.0,,0.0,4.0,4.0,11.0,13.0,1.0,,,,,,78.0,24.0,6.5,3.0,16.571853796292,3.0,14.127546993847,0.0,,"{'original': 6.5, 'alternative': 6.8}",3,0.06,-0.24,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,88.23529411764706,,,100.0,,,2.0,1.0,3.0,2.0,1.0,,1.0,,,,,,-0.51,,,,,,1.0,1.0,2.0,1.0,,,,,
14015626,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,18.0,17.0,1.0,1.0,0.0,4.0,4.0,13.0,14.0,,3.0,,,,,66.0,33.0,6.8,4.0,231.07685595027,17.0,127.58888233594,4.0,,"{'original': 6.8, 'alternative': 7.3}",5,0.27,0.17,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,94.44444444444444,100.0,100.0,66.66666666666666,,2.0,,,2.0,2.0,3.0,1.0,1.0,,,26.91156156249,76.593458278562,3.0,-0.49,,,,2.0,,1.0,2.0,,4.0,,,,,
14015626,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,False,15.0,13.0,1.0,,0.0,1.0,2.0,12.0,13.0,1.0,4.0,3.0,,,,66.0,31.0,6.3,10.0,68.954151313175,9.0,-8.7043967617734,1.0,,"{'original': 6.3, 'alternative': 6.3}",2,0.33,0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,4,8,86.66666666666667,,,50.0,,,5.0,1.0,13.0,5.0,6.0,1.0,,,3.0,10.377099260445,26.340913442779,1.0,-0.11,,,1.0,,1.0,2.0,3.0,1.0,,1.0,,,,
14015626,home,263360,FK TSC Bačka Topola,965889,Radivoj Bosić,radivoj-bosic,M,12,False,18.0,10.0,2.0,,0.0,1.0,2.0,9.0,16.0,,3.0,2.0,,,,78.0,32.0,7.5,13.0,192.53792329379,13.0,139.26696067135,6.0,,"{'original': 7.5, 'alternative': 7.2}",2,0.66,0.38,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,55.55555555555556,,50.0,66.66666666666666,,2.0,,,6.0,4.0,3.0,,,2.0,2.0,40.270429388256,137.04377333173,2.0,-0.35,3.0,,,1.0,,,2.0,1.0,1.0,,,,,
