match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalTackle,wonTackle,onTargetScoringAttempt,goals,shotValueNormalized,dispossessed,wonContest,bigChanceCreated,blockedScoringAttempt,outfielderBlock,totalOffside,shotOffTarget,hitWoodwork,ownGoals,bigChanceMissed,errorLeadToAGoal
14015628,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,45.0,18.0,34.0,8.0,0.0,12.0,16.0,6.0,29.0,1.0,1.0,4.0,10.0,3.0,4.0,1.0,2.0,2.0,90.0,58.0,6.4,27.0,25.184405705162,6.0,17.371611936086,0.0,0.5318,"{'original': 6.4, 'alternative': 6.8}",0,0.09,0.01,-0.23,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,40.0,23.52941176470588,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,24.0,11.0,6.0,,0.0,7.0,8.0,4.0,16.0,2.0,4.0,3.0,4.0,,,,,,89.0,60.0,6.2,22.0,100.51850354399,9.0,36.866138510703,2.0,,"{'original': 6.2, 'alternative': 6.3}",0,0.1,0.11,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,45.83333333333333,,50.0,,,6.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,33.868584298348,49.41964740291,1.0,,,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,37.0,24.0,9.0,1.0,0.0,22.0,25.0,2.0,12.0,2.0,5.0,3.0,5.0,,,,,,90.0,44.0,5.7,13.0,50.409361296006,7.0,5.1251709366155,0.0,,"{'original': 5.7, 'alternative': 6}",0,-0.04,0.01,-0.58,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,64.86486486486487,11.11111111111111,,,,,,2.0,5.0,2.0,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
14015628,home,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,32.0,27.0,4.0,1.0,0.0,24.0,27.0,3.0,5.0,1.0,4.0,11.0,4.0,,,,,,90.0,49.0,7.2,5.0,64.92321352134,9.0,9.5089173261686,0.0,,"{'original': 7.2, 'alternative': 7.1}",1,-0.04,0.12,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,84.375,25.0,,,,,,1.0,5.0,,,,,,4.0,,,,3.0,,1.0,1.0,0.51,,,,,,,,,,,
14015628,home,5153,OFK Beograd,77678,Milan Rodić,milan-rodic,D,33,False,34.0,27.0,4.0,3.0,1.0,11.0,13.0,16.0,21.0,2.0,4.0,,4.0,,,,,,64.0,55.0,6.8,14.0,28.005593307516,3.0,-21.29157169368,0.0,,"{'original': 6.8, 'alternative': 7.2}",1,0.35,-0.17,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,79.41176470588235,75.0,,100.0,,,,1.0,4.0,,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,,-0.04,2.0,1.0,1.0,1.0,,,,,,,
14015628,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,40.0,28.0,6.0,2.0,0.0,19.0,23.0,9.0,17.0,1.0,10.0,3.0,10.0,,,,,,90.0,62.0,7.4,16.0,71.308681518256,12.0,5.5790315189617,0.0,,"{'original': 7.4, 'alternative': 7.2}",0,0.1,0.2,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,9,1,70.0,33.33333333333333,,50.0,,1.0,,2.0,3.0,,2.0,3.0,2.0,3.0,,,,,5.0,2.0,,,,,1.0,,,1.0,,,,,,
14015628,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,False,26.0,20.0,1.0,,0.0,7.0,9.0,13.0,17.0,,5.0,1.0,6.0,,,,,,65.0,39.0,6.9,6.0,42.317638242852,6.0,15.712090478388,1.0,,"{'original': 6.9, 'alternative': 6.8}",1,0.2,0.32,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,76.92307692307693,,,,,,,,4.0,1.0,,1.0,,1.0,3.0,14.775203188228,15.702512537807,,4.0,3.0,,,-0.21,,,,1.0,,,,,,,
14015628,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,25.0,21.0,2.0,1.0,0.0,13.0,15.0,8.0,10.0,1.0,5.0,,8.0,,,,,,90.0,39.0,6.8,7.0,126.27779200843,10.0,0.44455501780037,1.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.32,0.17,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,4,1,84.0,50.0,100.0,100.0,,1.0,1.0,6.0,7.0,,1.0,,2.0,2.0,,20.112179567637,23.685186594156,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,
14015628,home,5153,OFK Beograd,1153956,Jovan Šljivić,jovan-sljivic,M,20,False,39.0,20.0,2.0,1.0,0.0,9.0,13.0,11.0,26.0,2.0,5.0,1.0,6.0,,,,,,90.0,68.0,7.2,33.0,80.390701785981,11.0,18.463971403125,3.0,,"{'original': 7.2, 'alternative': 7.3}",2,-0.02,0.12,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,51.28205128205128,50.0,,,,4.0,,2.0,6.0,1.0,1.0,4.0,7.0,,1.0,11.153576089996,35.103037932993,,3.0,3.0,,,-0.29,1.0,,,,,1.0,2.0,,,,
14015628,home,5153,OFK Beograd,1120865,Yacouba Silue,yacouba-silue,F,42,False,22.0,17.0,2.0,1.0,0.0,6.0,6.0,11.0,16.0,,4.0,,1.0,,,,,,90.0,45.0,7.2,18.0,131.56994091275,14.0,38.853370165515,2.0,,"{'original': 7.2, 'alternative': 6.9}",1,-0.3,0.38,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,4,8,77.27272727272727,50.0,,40.0,,1.0,,5.0,13.0,,5.0,,5.0,,1.0,23.534423507096,42.102080668426,1.0,2.0,1.0,1.0,1.0,0.5,4.0,2.0,,,,,,,,,
