match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,outfielderBlock,totalTackle,interceptionWon,wonTackle,accurateCross,wonContest,bigChanceCreated,keyPass,challengeLost,totalOffside,shotOffTarget,goals,bigChanceMissed,blockedScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox
14666216,home,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,24.0,15.0,15.0,6.0,0.0,11.0,12.0,4.0,12.0,1.0,8.0,1.0,1.0,90.0,33.0,6.4,9.0,-0.0001,"{'original': 6.4, 'alternative': 6.7}",0,0.02,0.02,-0.06,-0.62,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,62.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,38.0,28.0,9.0,2.0,0.0,18.0,18.0,10.0,20.0,2.0,4.0,,,90.0,57.0,6.1,18.0,,"{'original': 6.1, 'alternative': 6.5}",1,0.15,0.02,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,1,6,73.68421052631578,22.22222222222222,,,,1.0,3.0,2.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,-0.18,,,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,34.0,28.0,5.0,1.0,0.0,23.0,25.0,5.0,9.0,3.0,2.0,,,58.0,41.0,6.2,7.0,,"{'original': 6.2, 'alternative': 6.6}",0,0.03,0.02,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,82.35294117647058,20.0,,,,,2.0,,3.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,59.0,51.0,7.0,4.0,0.0,29.0,30.0,22.0,29.0,1.0,2.0,,,90.0,71.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7}",0,0.15,0.14,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,86.4406779661017,57.14285714285714,,,,1.0,,1.0,,3.0,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,46.0,38.0,2.0,1.0,1.0,18.0,18.0,20.0,28.0,3.0,4.0,,,89.0,78.0,7.8,15.0,,"{'original': 7.8, 'alternative': 8}",0,0.87,-0.04,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,82.6086956521739,50.0,45.45454545454545,100.0,,11.0,,,2.0,4.0,,1.0,,1.0,3.0,3.0,,1.0,,1.0,,5.0,1.0,1.0,5.0,,,,,,,,
14666216,home,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,39.0,31.0,8.0,4.0,0.0,19.0,21.0,12.0,18.0,2.0,4.0,,,90.0,56.0,6.8,12.0,,"{'original': 6.8, 'alternative': 6.8}",1,-0.01,0.16,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,7,4,79.48717948717949,50.0,,33.33333333333333,,,,3.0,4.0,10.0,,3.0,1.0,2.0,1.0,2.0,-0.36,,5.0,1.0,3.0,,1.0,,,,,,,,,,
14666216,home,5362,FK Novi Pazar,940100,Abdoulaye Cisse,abdoulaye-cisse,M,6,False,37.0,23.0,5.0,1.0,0.0,14.0,17.0,9.0,20.0,1.0,6.0,,,90.0,51.0,6.3,16.0,,"{'original': 6.3, 'alternative': 6.9}",1,0.2,0.12,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,62.16216216216216,20.0,100.0,,,1.0,2.0,2.0,6.0,5.0,,,1.0,1.0,,3.0,-0.11,,3.0,4.0,3.0,1.0,,,,1.0,,,,,,,
14666216,home,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,16.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,13.0,,3.0,,,90.0,39.0,6.3,16.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.11,0.26,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,4,7,68.75,100.0,,40.0,,,2.0,1.0,9.0,5.0,2.0,5.0,1.0,6.0,1.0,2.0,-0.16,,1.0,2.0,1.0,,2.0,,,,2.0,,,,,,
14666216,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,12.0,8.0,2.0,,0.0,2.0,3.0,6.0,9.0,,1.0,,,45.0,21.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.04,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,66.66666666666666,,100.0,,,1.0,1.0,,1.0,3.0,,,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,M,28,False,19.0,14.0,1.0,,0.0,2.0,3.0,12.0,16.0,,1.0,,,58.0,31.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.17,0.06,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,73.68421052631578,,,,,,1.0,,3.0,3.0,,1.0,,3.0,2.0,,-0.13,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,
