match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,penaltyFaced,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialWon,outfielderBlock,aerialLost,challengeLost,bigChanceMissed,shotOffTarget,penaltyConceded,totalCross,accurateCross,totalTackle,wonTackle,onTargetScoringAttempt,goals,errorLeadToAShot,penaltyWon,hitWoodwork,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,bigChanceCreated
14925448,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,22.0,10.0,17.0,5.0,0.0,5.0,7.0,5.0,15.0,1.0,8.0,1.0,1.0,90.0,29.0,6.2,12.0,"{'original': 6.2, 'alternative': 6.1}",0,0.06,0.08,-0.26,-0.57,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,45.45454545454545,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,34.0,32.0,,,1.0,20.0,22.0,12.0,12.0,3.0,10.0,,,90.0,57.0,6.3,8.0,"{'original': 6.3, 'alternative': 6.7}",1,0.23,0.3,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,94.11764705882352,,,50.0,,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,-0.1,,,,,,,,,,,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,61.0,45.0,10.0,2.0,0.0,31.0,33.0,14.0,28.0,3.0,9.0,,,90.0,74.0,5.8,18.0,"{'original': 5.8, 'alternative': 6.1}",0,0.11,0.16,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,73.77049180327869,20.0,,,,3.0,2.0,1.0,1.0,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,50.0,44.0,4.0,1.0,0.0,35.0,35.0,9.0,15.0,5.0,6.0,,,90.0,60.0,5.8,8.0,"{'original': 5.8, 'alternative': 6}",2,0.0,0.1,-0.6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,88.0,25.0,,,,2.0,2.0,,,,,,,,1.0,,-0.13,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,False,44.0,34.0,8.0,3.0,0.0,21.0,24.0,13.0,20.0,2.0,7.0,,,89.0,65.0,5.9,15.0,"{'original': 5.9, 'alternative': 6.3}",0,0.06,0.08,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,77.27272727272727,37.5,25.0,100.0,,5.0,5.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,1.0,,1.0,,,,,4.0,1.0,2.0,2.0,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,False,36.0,33.0,7.0,5.0,0.0,22.0,22.0,11.0,14.0,2.0,5.0,,,89.0,49.0,7.2,3.0,"{'original': 7.2, 'alternative': 7.1}",1,0.18,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,91.66666666666666,71.42857142857143,,,,4.0,1.0,,,,,3.0,,1.0,2.0,,0.32,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,28.0,22.0,4.0,2.0,0.0,15.0,17.0,7.0,11.0,2.0,6.0,,,90.0,39.0,6.3,10.0,"{'original': 6.3, 'alternative': 6.5}",0,0.32,-0.06,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,78.57142857142857,50.0,66.66666666666666,50.0,,4.0,1.0,,2.0,1.0,,,2.0,,1.0,2.0,,,,1.0,1.0,,,,3.0,2.0,,,,,1.0,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,18.0,15.0,,,0.0,6.0,6.0,9.0,12.0,,3.0,,,90.0,38.0,6.2,16.0,"{'original': 6.2, 'alternative': 6.7}",1,-0.22,0.29,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,5,10,83.33333333333334,,,25.0,,13.0,5.0,3.0,4.0,1.0,,1.0,3.0,2.0,3.0,,-0.24,,,3.0,1.0,,1.0,,4.0,,2.0,2.0,,,,1.0,,,,,,
14925448,home,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,M,22,False,16.0,13.0,2.0,,0.0,4.0,4.0,9.0,12.0,1.0,2.0,,,81.0,29.0,6.3,4.0,"{'original': 6.3, 'alternative': 6.6}",1,-0.06,0.1,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,2,1,81.25,,,,,6.0,4.0,,,,,1.0,1.0,1.0,1.0,1.0,-0.34,2.0,,5.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,M,9,False,30.0,22.0,1.0,,0.0,12.0,13.0,10.0,17.0,2.0,3.0,,,90.0,50.0,5.9,17.0,"{'original': 5.9, 'alternative': 6.1}",1,0.08,0.19,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,1,8,73.33333333333333,,100.0,,,10.0,3.0,5.0,2.0,,,,2.0,,1.0,,-0.13,2.0,,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,1.0,1.0,,,0.0,1.0,1.0,,,,,,,31.0,1.0,6.5,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,10.0,6.0,1.0,,0.0,1.0,2.0,5.0,8.0,,1.0,,,59.0,17.0,7.6,7.0,"{'original': 7.6, 'alternative': 7.4}",2,0.19,0.17,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,60.0,,100.0,,,2.0,1.0,,,,,,2.0,1.0,1.0,3.0,0.53,,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,
14925448,home,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,9.0,7.0,6.5,3.0,"{'original': 6.5, 'alternative': 6.5}",0,0.02,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,66.66666666666666,,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
14925448,home,312342,FK Javor Ivanjica,1942888,Boasiako Francis Antwi,boasiako-francis-antwi,F,33,True,,,,,0.0,,,,,,,,,1.0,1.0,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,1.0,3.0,,1.0,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,home,5160,FK Javor Ivanjica,145194,Leandro,leandro,D,4,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,home,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,home,5235,FK Javor Ivanjica,1149060,Savo Šušić,savo-susic,D,29,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,30.0,24.0,9.0,3.0,0.0,22.0,24.0,2.0,6.0,2.0,9.0,,1.0,90.0,38.0,6.0,6.0,"{'original': 6, 'alternative': 6.4}",0,0.02,-0.08,-0.2,-0.68,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,33.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0063,
14925448,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,52.0,47.0,3.0,3.0,1.0,28.0,29.0,19.0,23.0,3.0,1.0,,,90.0,66.0,7.1,8.0,"{'original': 7.1, 'alternative': 7.5}",0,0.24,0.16,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,5,0,90.38461538461539,100.0,,,,2.0,5.0,,,,,1.0,,,,1.0,,,,2.0,,,,,1.0,,5.0,4.0,,,,,,,,,,
14925448,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,86.0,73.0,11.0,4.0,0.0,53.0,57.0,20.0,29.0,4.0,6.0,,,90.0,97.0,6.6,14.0,"{'original': 6.6, 'alternative': 6.5}",0,0.25,0.12,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,84.88372093023256,36.36363636363637,,,,3.0,7.0,,,,,1.0,1.0,,3.0,,,6.0,,,,,,,,,1.0,,,,,,,,,,,
14925448,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,68.0,66.0,3.0,1.0,0.0,46.0,47.0,20.0,21.0,2.0,2.0,,,90.0,72.0,6.6,2.0,"{'original': 6.6, 'alternative': 6.5}",0,0.27,0.13,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,97.05882352941177,33.33333333333333,,,,2.0,3.0,,,,,,,1.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,
14925448,away,5152,FK Partizan,1124029,Mateja Milovanović,mateja-milovanovic,D,5,False,22.0,21.0,,,0.0,14.0,15.0,7.0,7.0,2.0,3.0,,,45.0,33.0,5.8,2.0,"{'original': 5.8, 'alternative': 6.3}",0,-0.05,0.15,-0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,95.45454545454545,,,,,3.0,3.0,,,,,2.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,
14925448,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,76.0,72.0,7.0,5.0,0.0,46.0,46.0,26.0,30.0,2.0,7.0,,,90.0,87.0,8.0,4.0,"{'original': 8, 'alternative': 7.4}",1,0.23,0.18,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,4,0,94.73684210526315,71.42857142857143,,,,1.0,6.0,,,,,1.0,,1.0,,,-0.26,2.0,1.0,1.0,,,1.0,,,,3.0,2.0,,,,,,,,,,
14925448,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,28.0,21.0,4.0,1.0,0.0,7.0,9.0,14.0,19.0,,2.0,,,90.0,49.0,6.5,15.0,"{'original': 6.5, 'alternative': 6.7}",0,-0.18,0.48,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,75.0,25.0,100.0,,,5.0,7.0,1.0,1.0,,,,6.0,3.0,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,3.0,2.0,,,,,,,,,,
14925448,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,37.0,34.0,3.0,2.0,1.0,17.0,17.0,17.0,20.0,1.0,,,,74.0,53.0,6.7,9.0,"{'original': 6.7, 'alternative': 7.3}",1,0.27,0.16,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,91.8918918918919,66.66666666666666,,,,3.0,4.0,1.0,1.0,,,,3.0,3.0,,2.0,-0.19,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0
14925448,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,45.0,35.0,5.0,3.0,0.0,15.0,17.0,20.0,28.0,,7.0,,,88.0,60.0,6.7,15.0,"{'original': 6.7, 'alternative': 7}",1,-0.36,0.3,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,77.77777777777779,60.0,,100.0,,2.0,7.0,,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,-0.11,1.0,,,,,,,4.0,,1.0,1.0,,,,,,,,,,
14925448,away,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,M,39,False,12.0,9.0,2.0,1.0,0.0,4.0,4.0,5.0,8.0,,2.0,,,45.0,23.0,6.4,9.0,"{'original': 6.4, 'alternative': 6.4}",0,-0.02,-0.15,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,75.0,50.0,100.0,100.0,,2.0,3.0,1.0,1.0,1.0,,,3.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
14925448,away,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,20.0,15.0,,,0.0,4.0,6.0,11.0,14.0,,1.0,,,75.0,30.0,8.5,9.0,"{'original': 8.5, 'alternative': 8.3}",3,-0.07,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,75.0,,,33.33333333333333,,5.0,3.0,,3.0,1.0,,,2.0,,1.0,1.0,0.9,,,2.0,,,1.0,,,,2.0,1.0,2.0,2.0,,,,,,,,
14925448,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,28.0,22.0,4.0,,0.0,15.0,16.0,7.0,12.0,,4.0,,,45.0,38.0,6.7,8.0,"{'original': 6.7, 'alternative': 6.6}",0,-0.19,0.09,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,78.57142857142857,,,,,1.0,3.0,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,31.0,26.0,1.0,1.0,0.0,11.0,13.0,15.0,18.0,,6.0,,,45.0,38.0,7.4,9.0,"{'original': 7.4, 'alternative': 7.2}",1,0.13,0.19,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,83.87096774193549,100.0,,,,1.0,2.0,,,,,,1.0,,,,0.32,,,,1.0,,,,3.0,,2.0,1.0,1.0,1.0,,,,,,,,
14925448,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,True,11.0,11.0,,,0.0,6.0,6.0,5.0,5.0,1.0,,,,16.0,15.0,6.6,1.0,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,-0.13,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,4.0,3.0,,,0.0,,,3.0,4.0,,1.0,,,15.0,7.0,6.6,2.0,"{'original': 6.6, 'alternative': 6.6}",1,0.0,-0.09,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,75.0,,,100.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,4.0,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925448,away,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
