per_capita_rank,fbref_rank,nation,players_top5,total_minutes,population_millions,pop_source,players_per_million
1,55,Iceland,7,7883,0.3918,api,17.8658
2,1,Spain,499,389079,49.3159,api,10.1184
4,18,Croatia,36,34461,3.8662,api,9.3114
5,12,Denmark,55,53997,6.0115,api,9.1491
3,65,Montenegro,6,4369,0.6233,api,9.6258
6,27,Uruguay,25,26576,3.4995,api,7.144
7,33,Albania,16,9815,2.3633,api,6.7702
8,42,Kosovo,11,5147,1.8,fallback,6.1111
9,9,Portugal,64,71279,10.7496,api,5.9537
10,72,Luxembourg,4,1856,0.682,api,5.8653
11,2,France,385,298782,66.352,api,5.8024
12,20,Norway,32,33780,5.6069,api,5.7072
13,10,Belgium,62,58793,11.8256,api,5.2429
14,15,Switzerland,44,52020,9.0828,api,4.8443
15,47,Slovenia,10,5239,2.1306,api,4.6934
16,3,Italy,274,203587,58.9276,api,4.6498
17,36,Wales,14,14101,3.1,fallback,4.5161
18,5,England,252,188916,56.5,fallback,4.4602
19,7,Netherlands,79,88962,18.1004,api,4.3645
20,21,Serbia,28,30223,6.5678,api,4.2632
21,29,Scotland,22,14498,5.5,fallback,4.0
22,17,Austria,36,36243,9.2009,api,3.9126
23,16,Sweden,40,43291,10.6051,api,3.7718
24,58,Northern Ireland,7,6181,1.9,fallback,3.6842
25,4,Germany,272,226507,83.4912,api,3.2578
26,11,Senegal,58,52030,18.5933,api,3.1194
27,41,Bosnia and Herzegovina,10,10457,3.422,api,2.9223
28,44,Georgia,11,8050,4.0009,api,2.7494
29,63,Gambia,6,3903,2.4227,api,2.4766
30,38,Republic of Ireland,12,12018,5.4586,api,2.1984
31,48,Slovakia,10,4674,5.4138,api,1.8471
32,8,Argentina,77,87870,46.735,api,1.6476
33,75,North Macedonia,3,2574,1.8226,api,1.646
34,71,Gabon,4,3961,2.4693,api,1.6199
35,14,Côte d'Ivoire,47,37589,31.7193,api,1.4817
36,35,Greece,15,12148,10.4007,api,1.4422
37,54,Finland,8,1625,5.6503,api,1.4158
38,13,Morocco,49,32482,36.8283,api,1.3305
39,37,Czech Republic,14,13679,10.8823,api,1.2865
40,43,Hungary,11,12075,9.5395,api,1.1531
41,57,Paraguay,7,6449,6.1096,api,1.1457
42,62,Bulgaria,7,1632,6.4374,api,1.0874
43,66,Mauritania,5,4209,4.9275,api,1.0147
44,32,Mali,21,16985,22.3955,api,0.9377
45,25,Cameroon,27,22757,29.4423,api,0.917
46,61,Togo,7,4364,8.0955,api,0.8647
47,24,Ghana,27,26638,33.7424,api,0.8002
48,23,Poland,29,25188,37.392,api,0.7756
49,51,Tunisia,9,8133,11.9722,api,0.7517
50,40,Romania,14,7573,19.036,api,0.7354
51,49,Guinea,10,6629,14.3639,api,0.6962
52,45,Ecuador,11,7118,18.1037,api,0.6076
53,28,Algeria,25,24235,47.4,api,0.5274
54,64,Haiti,6,5583,11.867,api,0.5056
55,34,Ukraine,15,13082,32.862,api,0.4565
56,6,Brazil,94,98827,213.421,api,0.4404
57,53,Chile,8,6260,20.207,api,0.3959
58,31,Colombia,21,19838,53.0572,api,0.3958
59,73,Israel,4,1391,10.1348,api,0.3947
60,52,Burkina Faso,9,8821,24.0706,api,0.3739
61,67,Dominican Republic,4,988,10.7715,api,0.3714
62,46,Canada,11,6550,41.6517,api,0.2641
63,60,Venezuela,7,5635,28.517,api,0.2455
64,30,Türkiye,21,20450,85.6649,api,0.2451
65,26,Japan,26,22988,123.21,api,0.211
66,56,Angola,7,7678,36.171,api,0.1935
67,50,Korea Republic,9,8844,51.1599,api,0.1759
68,76,Zimbabwe,3,2513,17.0731,api,0.1757
69,19,Nigeria,35,33780,223.8,api,0.1564
70,69,Australia,4,5777,27.5369,api,0.1453
71,39,Congo DR,14,10430,112.832,api,0.1241
72,22,United States,30,29331,340.111,api,0.0882
73,59,Mexico,7,5853,130.5758,api,0.0536
74,70,Egypt,4,4973,107.2713,api,0.0373
75,74,Russia,3,2613,146.0283,api,0.0205
76,68,Indonesia,4,7708,284.4388,api,0.0141
